model,dataset,ablation,seed,variant,block_len,n_windows,test_stride,MAE,RMSE,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAE_P,RMSE_P,MAE_WS,RMSE_WS
Autoformer,jena,full,0,none,16,2782,5,3.83553409576416,6.043105602264404,2.6196887493133545,3.326026678085327,8.107664108276367,10.545475959777832,3.6451046466827393,4.692714691162109,0.969679594039917,1.3361865282058716
Autoformer,jena,full,0,A_end,16,2782,5,4.914607048034668,7.59600830078125,3.2699685096740723,4.101557731628418,10.116128921508787,12.92180061340332,5.172985553741455,6.692216396331787,1.0993424654006958,1.488581299781799
Autoformer,jena,full,0,B_start,16,2782,5,4.133142948150635,6.43345832824707,2.6637279987335205,3.357680320739746,8.618146896362305,11.044068336486816,4.250080108642578,5.515190601348877,1.0006121397018433,1.3765043020248413
Autoformer,jena,full,1,none,16,2782,5,4.12506628036499,6.447346210479736,3.0477304458618164,3.7880263328552246,8.650209426879883,11.158509254455566,3.836750030517578,5.0678534507751465,0.965576946735382,1.3147094249725342
Autoformer,jena,full,1,A_end,16,2782,5,5.447322368621826,8.327911376953125,3.869031190872192,4.756860256195068,11.423386573791504,14.2882661819458,5.374059677124023,6.9543280601501465,1.1228114366531372,1.5071465969085691
Autoformer,jena,full,1,B_start,16,2782,5,4.233284950256348,6.557824611663818,3.1406595706939697,3.868490695953369,8.811269760131836,11.286735534667969,4.004166603088379,5.273052215576172,0.9770407676696776,1.3636512756347656
Autoformer,jena,full,2,none,16,2782,5,3.956766366958618,6.186116695404053,3.104809045791626,3.909432172775269,8.252239227294922,10.687098503112791,3.52032208442688,4.670466423034668,0.9496938586235046,1.3270996809005735
Autoformer,jena,full,2,A_end,16,2782,5,5.135867595672607,7.809139251708984,3.8845407962799072,4.738828182220459,10.505070686340332,13.246456146240234,5.06864070892334,6.616982936859131,1.0852148532867432,1.490322828292847
Autoformer,jena,full,2,B_start,16,2782,5,4.209983825683594,6.470469951629639,3.184615135192871,3.9921064376831055,8.564894676208496,10.975293159484863,4.103798866271973,5.398651123046875,0.986626148223877,1.388717532157898
Autoformer,jena,full,3,none,16,2782,5,3.96291446685791,6.224761486053467,2.817784309387207,3.522562026977539,8.323863983154297,10.76661205291748,3.737215757369995,4.986008167266846,0.9727962017059326,1.3423638343811035
Autoformer,jena,full,3,A_end,16,2782,5,5.0888495445251465,7.799678325653076,3.429260730743408,4.291267395019531,10.548627853393556,13.21339511871338,5.285966396331787,6.934304237365723,1.0915427207946775,1.4988563060760498
Autoformer,jena,full,3,B_start,16,2782,5,4.138433456420898,6.4484381675720215,2.9986133575439453,3.7245688438415527,8.612332344055176,11.076818466186523,3.953496217727661,5.280339241027832,0.9892948865890504,1.3708102703094482
Autoformer,jena,full,4,none,16,2782,5,4.058823585510254,6.435664176940918,2.928871154785156,3.6681182384490967,8.668540000915527,11.245162010192873,3.676435232162475,4.897627353668213,0.9614478349685668,1.3325244188308716
Autoformer,jena,full,4,A_end,16,2782,5,5.188751697540283,7.998069763183594,3.5270450115203857,4.427760601043701,10.786321640014648,13.604439735412598,5.342803955078125,6.989936351776123,1.0988357067108154,1.526889681816101
Autoformer,jena,full,4,B_start,16,2782,5,4.207425594329834,6.628475666046143,3.1065938472747803,3.8658926486968994,8.958502769470215,11.560952186584473,3.7841994762420654,5.0300188064575195,0.9804083704948424,1.3582993745803833
Crossformer,jena,full,0,none,16,2782,5,3.0833890438079834,5.154646873474121,2.3585903644561768,2.9482054710388184,7.000883102416992,9.297616004943848,2.141787052154541,3.109840631484986,0.8322948813438416,1.2136073112487793
Crossformer,jena,full,0,A_end,16,2782,5,4.875988960266113,7.75412654876709,3.578967809677124,4.493776321411133,10.60099983215332,13.665620803833008,4.308320045471191,5.606019973754883,1.0156711339950562,1.4612435102462769
Crossformer,jena,full,0,B_start,16,2782,5,3.0967633724212646,5.180423259735107,2.372857570648194,2.9615957736968994,7.029417514801025,9.34696102142334,2.1504604816436768,3.119107961654663,0.8343188762664795,1.217194676399231
