model,ablation,seed,station,in_domain,n_windows,MAE,RMSE,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAE_P,RMSE_P,MAE_WS,RMSE_WS
Autoformer,full_normon,0,Aotizhongxin,True,6895,5.188076972961426,9.152100563049316,2.980531930923462,3.829768419265747,13.207324028015137,17.137975692749023,3.8638415336608887,5.06443977355957,0.7006107568740845,1.008841872215271
Autoformer,full_normon,0,Changping,False,6895,5.097259998321533,8.969776153564453,2.947523355484009,3.8356292247772217,12.779338836669922,16.717966079711914,3.9301815032958984,5.147641181945801,0.731992781162262,1.061527132987976
Autoformer,full_normon,0,Dingling,False,6895,5.0908732414245605,8.916900634765625,2.989835739135742,3.88199520111084,12.719518661499023,16.597536087036133,3.926079034805298,5.1371588706970215,0.7280595302581787,1.051640868186951
Autoformer,full_normon,0,Dongsi,False,6895,5.199914455413818,9.190752983093262,2.942166566848755,3.797772884368897,13.271639823913574,17.218917846679688,3.875539302825928,5.090565204620361,0.710314929485321,1.02547287940979
Autoformer,full_normon,0,Guanyuan,False,6895,5.205725193023682,9.19853401184082,2.9539594650268555,3.802256584167481,13.2806396484375,17.237903594970703,3.8797354698181152,5.080165863037109,0.7085689306259155,1.0205671787261963
Autoformer,full_normon,0,Gucheng,False,6895,5.110494136810303,8.966625213623047,2.991870164871216,3.860280513763428,12.673184394836426,16.687118530273438,3.92195725440979,5.163846015930176,0.8549676537513733,1.2547950744628906
Autoformer,full_normon,0,Huairou,False,6895,5.157868385314941,9.210034370422363,3.033592939376831,3.889580249786377,13.037161827087402,17.255691528320312,3.839390754699707,5.034811496734619,0.7213267087936401,1.030451416969299
Autoformer,full_normon,0,Nongzhanguan,False,6895,5.183560371398926,9.161734580993652,2.9521377086639404,3.803738594055176,13.235002517700195,17.173307418823242,3.841068744659424,5.0325517654418945,0.7060273289680481,1.0158871412277222
Autoformer,full_normon,0,Shunyi,False,6895,5.0725626945495605,8.934877395629883,2.876246929168701,3.7382946014404297,12.757079124450684,16.66657829284668,3.906723976135254,5.1338791847229,0.750203549861908,1.1053200960159302
Autoformer,full_normon,0,Tiantan,False,6895,5.252095699310303,9.27795696258545,2.9192445278167725,3.778335094451904,13.524580001831056,17.420568466186523,3.857844114303589,5.054839134216309,0.7067151069641113,1.009258508682251
