dataset,model,ablation,suffix,seed,base_mae,det_gain_occl,det_gain_occl_rel,det_gain_shap,det_gain_shap_rel,det_agree_shap_occl_rho,det_gain_attn,det_gain_attn_rel,det_agree_attn_shap_rho,det_agree_attn_occl_rho
jena,Autoformer,full,_normon,0,0.46717262,0.06541345320052158,0.14001988,0.051546933533313376,0.11033809,0.6678571428571428,,,,
jena,Autoformer,full,_normon,1,0.4604636,0.07502396499939884,0.16293137,0.06498514211007084,0.1411298,0.5714285714285713,,,,
jena,Autoformer,full,_normon,2,0.46891347,0.06256605679246909,0.13342772,0.05384292846623188,0.11482487,0.6464285714285712,,,,
jena,Autoformer,full,_normon,3,0.46124458,0.07443926137778908,0.16138783,0.06450225667003542,0.13984393,0.475,,,,
jena,Autoformer,full,_normon,4,0.48131427,0.07316745207458734,0.15201595,0.05834880788624286,0.121228084,0.6285714285714286,,,,
jena,Crossformer,full,,0,0.37685442,0.08901622993467997,0.23620853,0.08736971066861104,0.23183942,0.6964285714285713,,,,
jena,Crossformer,full,,1,0.36883268,0.10233704373721653,0.27746198,0.09876076132540279,0.26776576,0.95,,,,
jena,Crossformer,full,,2,0.37265372,0.091837499142314,0.24644192,0.09158749602797131,0.24577105,0.8464285714285712,,,,
jena,Crossformer,full,,3,0.37561852,0.09736552151773745,0.25921384,0.09338017652664954,0.24860376,0.9357142857142854,,,,
jena,Crossformer,full,,4,0.37165627,0.11276006900006905,0.3033988,0.11267357670003549,0.3031661,0.8607142857142854,,,,
jena,DLinear,full,,0,0.43338448,0.09830654926039278,0.2268345,0.0805698054600507,0.18590838,0.7471092750779922,,,,
jena,DLinear,full,,1,0.43387538,0.09839815898627663,0.22678898,0.08065599131227161,0.18589668,0.7471092750779922,,,,
jena,DLinear,full,,2,0.43399024,0.09847685971064493,0.22691031,0.08086468201829121,0.18632835,0.7471092750779922,,,,
jena,DLinear,full,,3,0.43443513,0.09794226752299194,0.2254474,0.08062376519370203,0.18558298,0.7471092750779922,,,,
jena,DLinear,full,,4,0.4329711,0.09854208142325903,0.22759506,0.08069088031367089,0.18636551,0.7471092750779922,,,,
