model,checkpoint_seed,rng_seed,fidelity_gain_shap_rel,fidelity_gain_perm_rel,fidelity_gain_attn_rel
Crossformer,0,0,0.5180078293736128,0.5121209483954374,
Crossformer,0,1,0.1973707200121816,0.1976068803684545,
Crossformer,0,2,0.1751461181311462,0.1867876830197191,
Crossformer,0,3,0.5016763931002961,0.4746410599315978,
Crossformer,0,4,0.4993137290508148,0.4762753487027333,
XAI-MeteoFormer,0,0,0.550437020509581,0.5303031115607024,0.1692015900334284
XAI-MeteoFormer,0,1,0.2570086262292855,0.1964602063454528,-0.1561813494469242
XAI-MeteoFormer,0,2,0.1783829466241256,0.1917259885864807,-0.1966088573498526
XAI-MeteoFormer,0,3,0.5371761395020691,0.492482306280051,0.1529296545190962
XAI-MeteoFormer,0,4,0.5412665093926956,0.510194284661481,0.1821551406721586
