model,dataset,ablation,seed,missing_rate,n_windows,test_stride,MAE,RMSE,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAE_P,RMSE_P,MAE_WS,RMSE_WS
Autoformer,jena,full,0,0.0,2782,5,3.83553409576416,6.043105602264404,2.6196887493133545,3.326026678085327,8.107664108276367,10.545475959777832,3.6451046466827393,4.692714691162109,0.969679594039917,1.3361865282058716
Autoformer,jena,full,0,0.05,2782,5,3.838501453399658,6.049742221832275,2.617316722869873,3.3229963779449463,8.122782707214355,10.563801765441896,3.642045259475708,4.687103271484375,0.9718623161315918,1.3387972116470337
Autoformer,jena,full,0,0.1,2782,5,3.841189384460449,6.0505547523498535,2.6199259757995605,3.3270773887634277,8.124460220336914,10.563387870788574,3.648271799087525,4.689262390136719,0.972099542617798,1.3390672206878662
Autoformer,jena,full,0,0.2,2782,5,3.855289459228515,6.0682878494262695,2.6260998249053955,3.3361527919769287,8.147072792053223,10.584416389465332,3.673528909683227,4.726029872894287,0.9744545817375184,1.3421382904052734
Autoformer,jena,full,1,0.0,2782,5,4.12506628036499,6.447346210479736,3.0477304458618164,3.7880263328552246,8.650209426879883,11.158509254455566,3.836750030517578,5.0678534507751465,0.965576946735382,1.3147094249725342
Autoformer,jena,full,1,0.05,2782,5,4.12981653213501,6.455519676208496,3.047960042953491,3.795494794845581,8.654709815979004,11.166876792907717,3.8493764400482178,5.084933757781982,0.967219889163971,1.3166128396987915
Autoformer,jena,full,1,0.1,2782,5,4.143210411071777,6.477120399475098,3.053560972213745,3.800657987594605,8.677884101867676,11.197477340698242,3.873136043548584,5.122963905334473,0.9682613015174866,1.3187390565872192
Autoformer,jena,full,1,0.2,2782,5,4.150390625,6.491868019104004,3.045238256454468,3.79744291305542,8.696706771850586,11.214310646057127,3.8878774642944336,5.161808013916016,0.9717428088188172,1.3235598802566528
Autoformer,jena,full,2,0.0,2782,5,3.956766366958618,6.186116695404053,3.104809045791626,3.909432172775269,8.252239227294922,10.687098503112791,3.52032208442688,4.670466423034668,0.9496938586235046,1.3270996809005735
Autoformer,jena,full,2,0.05,2782,5,3.9600954055786137,6.190328598022461,3.105393886566162,3.9093704223632817,8.260274887084961,10.691954612731934,3.524284601211548,4.681429862976074,0.950428545475006,1.3280963897705078
