model,dataset,ablation,seed,missing_rate,lambda_ent,norm_variant,width,bl_d_model,bl_d_ff,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE
XAI-MeteoFormer,jena,no_revin,2,0.0,0.01,off,default,,,1895547,1239.4,11.64,0.1456412281087431,19,192,24,256,2,0.0005,3.0499281883239746,5.2883710861206055,27.96687126159668,22.05274772644043,0.6765661239624023,1.9719654321670528,2.587808609008789,7.142235279083252,9.64522933959961,10.355056762695312,2.232200860977173,3.266162395477295,0.2252579629421234,0.8533112406730652,1.2134445905685425,1.1085704565048218,1.9941426515579224,2.5235955715179443,4.6444478034973145,3.2004919052124023,5.464923858642578,3.948737859725952,6.309458255767822,0.9343656482285936,0.530930565118373,0.8321504171336073,0.6482580227952469,0.9713831787551158,0.7598827308475684,0.0726813640312771
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,1,0.0,0.01,off,default,,,1895291,619.3,5.9,0.1690145771496566,20,192,24,256,2,0.0005,4.189712524414063,8.200384140014648,67.24630737304688,28.467330932617188,0.6545404195785522,2.307227373123169,2.96447229385376,11.531280517578123,15.81044101715088,26.92592430114746,2.2263314723968506,3.0521528720855717,0.2193822562694549,0.6940119862556458,0.9547259211540222,2.020996332168579,3.702586889266968,3.4861509799957275,6.887341976165772,4.378314018249512,8.445391654968262,5.297826290130615,9.88558864593506,0.8648575770946708,0.5667383855287274,0.9894268224819144,0.7206769012514567,0.9766849931541626,0.891027405365945,0.1762023827033387
XAI-MeteoFormer,jena,no_revin,0,0.0,0.01,off,default,,,1895547,1220.3,13.41,0.1433653996683787,17,192,24,256,2,0.0005,3.00013279914856,5.179032325744629,26.82237434387207,21.80086135864257,0.6851900815963745,1.9212361574172967,2.5226805210113525,7.035754680633545,9.454266548156738,10.180404663085938,2.187214136123657,3.175722360610962,0.2207659929990768,0.8563245534896851,1.207160472869873,1.1466325521469116,2.0186336040496826,2.4796714782714844,4.454206466674805,3.160726308822632,5.389412879943848,3.887718439102173,6.146714210510254,0.9497900376484216,0.6164961996809609,0.8180799402316026,0.703125,0.978471970591557,0.7965848914522926,0.0726813640312771
XAI-MeteoFormer,jena,no_revin,1,0.0,0.01,off,default,,,1895547,1074.8,13.12,0.1459623556444359,15,192,24,256,2,0.0005,3.0579395294189453,5.301029205322266,28.10091209411621,21.72886085510254,0.6796514987945557,1.927123069763184,2.5208635330200195,7.231506824493408,9.71713161468506,10.299493789672852,2.228167057037353,3.188218832015991,0.2250200659036636,0.8449585437774658,1.208916187286377,1.183733344078064,2.014936923980713,2.5764756202697754,4.598371982574463,3.2851059436798096,5.651127815246582,3.877169370651245,6.240346431732178,0.9264377594362392,0.4966845308384049,0.9078155480845058,0.6420760615890443,0.9762842256802556,0.7851242469162463,0.0726813640312771
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,0,0.0,0.01,off,default,,,1895291,712.6,6.75,0.163226385105348,21,192,24,256,2,0.0005,4.203386306762695,8.650969505310059,74.83927154541016,26.53206253051757,0.6444738507270813,2.017287492752075,2.664081335067749,11.977360725402832,16.797941207885742,26.942533493041992,2.1478471755981445,3.030210256576538,0.2114983052015304,0.6710458993911743,0.9522140026092528,1.655143141746521,3.158341646194458,3.321663618087769,6.795164108276367,4.368563652038574,8.846014022827148,5.500747680664063,10.626150131225586,0.907235132617542,0.6742876161704089,0.9160058430717865,0.7767766291604606,0.9720484045888604,0.8822029975334674,0.1762023827033387
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,2,0.0,0.01,off,default,,,1895291,544.6,6.78,0.1613914710714331,16,192,24,256,2,0.0005,4.208297252655029,8.226581573486328,67.67665100097656,26.683238983154297,0.6576309204101562,2.0540339946746826,2.6982522010803223,11.741962432861328,15.87139129638672,26.58971786499023,2.364585876464844,3.2607767581939697,0.2329019904136657,0.6726059913635254,0.9446439743041992,1.7042275667190552,3.2580347061157227,3.559002161026001,6.921921253204346,4.419529914855957,8.55323314666748,5.399676322937012,9.946667671203612,0.8924535470902584,0.6251815764185309,0.9729757929883138,0.7612348467326087,0.9756792112938948,0.8846385466205944,0.1762023827033387
XAI-MeteoFormer,jena,no_revin,3,0.0,0.01,off,default,,,1895547,1100.2,12.9,0.1458457115798097,16,192,24,256,2,0.0005,3.045372009277344,5.2964959144592285,28.05286979675293,21.62956619262696,0.6773238182067871,1.875453233718872,2.459484815597534,7.196243762969971,9.700430870056152,10.211915969848633,2.26091742515564,3.253149509429932,0.2281899601221084,0.8488738536834717,1.2170039415359497,1.234201192855835,2.191911697387696,2.5545308589935303,4.688029766082764,3.2053451538085938,5.506656646728516,3.876634359359741,6.139344692230225,0.9356809296264118,0.5356536502546689,0.8642759307682729,0.6613940635571013,0.9748271126904566,0.7756600328585926,0.0726813640312771
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,3,0.0,0.01,off,default,,,1895291,495.5,6.15,0.1657594641593045,15,192,24,256,2,0.0005,4.23236894607544,8.279289245605469,68.546630859375,26.99773597717285,0.6553556323051453,2.018425226211548,2.6302316188812256,11.859817504882812,15.987990379333496,27.07653045654297,2.3731067180633545,3.279607057571411,0.2338106781244278,0.6781238317489624,0.9469783902168274,1.9934362173080444,3.7723660469055176,3.570683479309082,7.005864143371582,4.415340900421143,8.498513221740723,5.369582653045654,10.042393684387209,0.9048695886649998,0.6594124310124599,0.951620756816917,0.7790163000925333,0.9734424528082324,0.8745289696170052,0.1762023827033387
XAI-MeteoFormer,jena,no_revin,4,0.0,0.01,off,default,,,1895547,1227.5,12.66,0.1474798044845587,18,192,24,256,2,0.0005,3.0498158931732178,5.293909072875977,28.02547264099121,21.57169342041016,0.6794944405555725,1.956906795501709,2.591311454772949,7.119025230407715,9.663384437561035,10.184303283691406,2.2658112049102783,3.2494425773620605,0.2287236005067825,0.8575215935707092,1.2029608488082886,1.3216155767440796,2.380589008331299,2.571706533432007,4.684961318969727,3.173445224761963,5.471758365631104,3.948554754257202,6.37335205078125,0.946887971811951,0.5957377726615307,0.8377121985638982,0.6963016628717312,0.9777999306267484,0.7922448708141199,0.0726813640312771
XAI-MeteoFormer,beijing_aotizhongxin,no_revin,4,0.0,0.01,off,default,,,1895291,525.5,6.38,0.1647722857750429,16,192,24,256,2,0.0005,4.335031509399414,8.466302871704102,71.67828369140625,27.166038513183597,0.6469743847846985,2.008120536804199,2.586059331893921,12.105295181274414,16.353919982910156,27.895915985107425,2.561577320098877,3.416231155395508,0.2525372803211212,0.6651331782341003,0.9508534073829652,1.9201048612594604,3.518417835235596,3.6834137439727774,7.070389747619629,4.714838027954102,9.048542976379396,5.261726379394531,9.848052024841309,0.9125361572780312,0.6838963677927355,0.9364565943238732,0.7904935263204251,0.9750918525174423,0.8860553173216549,0.1762023827033387
