model,dataset,ablation,seed,missing_rate,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,lambda_ent,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE,loss,aug_block,norm_variant,width,bl_d_model,bl_d_ff
PatchTST,jena,full,0,0.0,1657880.0,675.3,10.69,0.1674758525764961,10.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.411736965179444,5.719051361083984,32.707550048828125,23.49824333190918,0.6266756057739258,2.287838935852051,2.979788303375244,7.943094253540039,10.37467098236084,11.748700141906738,2.4961912631988525,3.556297540664673,0.2522318065166473,0.9198247790336608,1.2922745943069458,1.2743161916732788,2.21581768989563,2.8869664669036865,5.047295570373535,3.643218517303467,6.0055036544799805,4.241797924041748,6.594786167144775,0.663218411465823,0.1764904106779189,0.9999584941684306,0.3000267747619848,0.9662080457024698,0.6838531964912266,0.0721796807592752,huber,0.5,off,default,,
PatchTST,jena,full,2,0.0,1657880.0,1218.7,9.34,0.161071876496029,18.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.3170080184936523,5.568148612976074,31.0042781829834,23.08335876464844,0.6402814984321594,2.299382209777832,3.000008344650269,7.684990406036377,10.093341827392578,11.367114067077637,2.372255325317383,3.3927040100097656,0.2397532314062118,0.9113991856575012,1.2771528959274292,1.325993299484253,2.218956470489502,2.844898700714112,4.955734729766846,3.511263132095337,5.825421333312988,4.122686862945557,6.460551261901856,0.6856125970664366,0.1864523785515385,0.9977171792636864,0.3141893658179537,0.9697688136090808,0.719625988759192,0.0721796807592752,huber,0.5,off,default,,
PatchTST,jena,full,4,0.0,1657880.0,1216.9,9.41,0.1605410626117314,18.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.2895750999450684,5.576896190643311,31.10177230834961,22.99988174438477,0.6411062479019165,2.245399713516236,2.928828716278076,7.67526388168335,10.14877223968506,11.06729507446289,2.336500644683838,3.3455307483673096,0.2359542697668075,0.901139199733734,1.2801873683929443,1.3280696868896484,2.141477108001709,2.7580268383026123,4.871440887451172,3.508131504058838,5.889817714691162,4.171188831329346,6.506075382232666,0.6719903412903845,0.1803638269201976,1.0,0.305607174341834,0.9695100030735362,0.7079809772099983,0.0721796807592752,huber,0.5,off,default,,
Autoformer,jena,full,2,0.0,2677305.0,846.9,14.19,0.2141290327560291,9.0,96.0,24.0,256.0,2.0,0.0005,0.0,4.020610332489014,6.358090400695801,40.42531204223633,25.16451835632324,0.5300321578979492,2.810197591781616,3.624821662902832,8.441685676574707,10.91899871826172,12.28627586364746,3.883078098297119,5.247633934020996,0.3923397064208984,0.9474846720695496,1.3415542840957642,3.1050069332122803,4.816937446594238,3.629547119140625,5.803119659423828,4.040649890899658,6.407749652862549,4.7037553787231445,7.236410617828369,0.7104843735020612,0.1995195294702398,0.9996679533474452,0.3326473675487542,0.962664541503332,0.6540424379945584,0.0721796807592752,huber,0.5,on,default,,
Autoformer,jena,full,4,0.0,2677305.0,1780.0,13.6,0.2050670050608823,19.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.8577024936676025,6.193480968475342,38.35920715332031,25.914833068847656,0.5543931722640991,2.778526782989502,3.542287588119507,8.483331680297852,10.934979438781738,12.560730934143066,3.2034151554107666,4.41050386428833,0.3237101435661316,0.9655388593673706,1.3648051023483276,2.772394895553589,4.320732116699219,3.432774543762207,5.589477062225342,3.908004760742188,6.314393520355225,4.596102714538574,7.105745792388916,0.7207242833860608,0.2046839087825425,0.994313701075001,0.3394836040019273,0.9603139166109104,0.6383311208432674,0.0721796807592752,huber,0.5,on,default,,
TimesNet,jena,full,1,0.0,1186507.0,1139.4,8.03,0.1610480970357856,13.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.3654937744140625,5.509288787841797,30.35226058959961,22.985774993896484,0.6441274881362915,2.535076379776001,3.2132885456085205,7.546856880187988,9.858997344970703,11.144516944885254,2.504846572875977,3.509674310684204,0.253030925989151,0.87519371509552,1.251478672027588,1.944635033607483,3.129883050918579,2.8940680027008057,4.85018253326416,3.4803287982940674,5.673666954040527,4.140420913696289,6.429600715637207,0.7297059246476848,0.2106027850472197,0.9987133192213506,0.3478524857964812,0.9747823930375752,0.7608765864094489,0.0721796807592752,huber,0.5,off,default,,
TimesNet,jena,full,3,0.0,1186507.0,956.3,7.51,0.161258809511675,11.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.3156864643096924,5.5020365715026855,30.27240562438965,22.70389175415039,0.6442148089408875,2.349480628967285,3.022517681121826,7.445954322814941,9.86093807220459,10.725268363952637,2.5784358978271484,3.624563694000244,0.2604939937591553,0.8888736963272095,1.2563685178756714,1.7772185802459717,2.931295871734619,2.8122541904449463,4.7917304039001465,3.4424872398376465,5.653154850006104,4.160152912139893,6.551417827606201,0.6998010737225577,0.1936320090166244,0.9982982609056572,0.3243520241659249,0.975695767660692,0.7574830147901916,0.0721796807592752,huber,0.5,off,default,,
TFT,jena,full,0,0.0,3640676.0,1357.2,12.79,0.1593807275949758,12.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.294494867324829,5.467913627624512,29.8980770111084,23.046836853027344,0.6516923904418945,2.4565446376800537,3.1283164024353027,7.523245811462402,9.86376667022705,11.162203788757324,2.3078255653381348,3.3092288970947266,0.2331473231315612,0.8903623819351196,1.2494046688079834,1.670586109161377,2.7153549194335938,2.7564146518707275,4.690031051635742,3.4042670726776123,5.578212738037109,4.175747394561768,6.556324005126953,0.7194779982743744,0.2041101136025188,0.9955588760220812,0.3387661714027456,0.9734042321458236,0.735847179716451,0.0721796807592752,huber,0.5,off,default,,
TFT,jena,full,2,0.0,3640676.0,1117.0,12.67,0.1591698118737763,10.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.3504016399383545,5.487575531005859,30.113487243652344,22.65949058532715,0.645098090171814,2.400587320327759,3.057710647583008,7.44266414642334,9.782549858093262,10.83677577972412,2.688814163208008,3.7219083309173584,0.2715267837047577,0.8695436716079712,1.2463912963867188,1.874090313911438,2.9369213581085205,2.8405649662017822,4.772502899169922,3.475436210632324,5.660219669342041,4.146169185638428,6.470627784729004,0.7059246476847857,0.1969708127746275,0.999128377537044,0.3290682414698163,0.9743021646600604,0.7424114550224147,0.0721796807592752,huber,0.5,off,default,,
TFT,jena,full,4,0.0,3640676.0,1465.9,12.25,0.1653626898110959,13.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.447558641433716,5.709113121032715,32.59397506713867,23.36257743835449,0.6294957399368286,2.3947641849517822,3.039494037628174,7.823903083801269,10.246267318725586,11.952391624450684,2.688750743865967,3.815387964248657,0.2719209194183349,0.8828177452087402,1.2625983953475952,1.6765053272247314,2.6158275604248047,2.863830804824829,4.812563896179199,3.6595709323883057,5.9908599853515625,4.296246528625488,6.706751346588135,0.7024584172179081,0.1951433017766826,0.9992944008633212,0.3265228624321044,0.9720057717276372,0.7228607507815286,0.0721796807592752,huber,0.5,off,default,,
