dataset,loss,channel,baseline,mean_diff,DM,p_raw,lag,p_holm
jena,abs,agg,Autoformer,-0.9637289423598423,-40.80928885908588,0.0,11,0.0
jena,abs,T,Autoformer,-0.9501213038774813,-26.34280007044093,0.0,11,0.0
jena,abs,RH,Autoformer,-1.2510520839608876,-19.243744191203128,0.0,11,0.0
jena,abs,P,Autoformer,-1.5387904366394574,-33.57469298967676,0.0,11,0.0
jena,abs,WS,Autoformer,-0.11495194496154248,-17.11038775485521,0.0,11,0.0
jena,abs,agg,Crossformer,-0.08239832909295164,-6.813334654228894,9.92850246461785e-12,11,9.92850246461785e-12
jena,abs,T,Crossformer,-0.5770998421082805,-18.536514544006096,0.0,11,0.0
jena,abs,RH,Crossformer,0.22486709986353823,7.269908156420413,3.788080960021034e-13,11,1.5152323840084136e-12
jena,abs,P,Crossformer,0.00724551263311293,0.436104222622225,0.6627678830092778,11,0.6627678830092778
jena,abs,WS,Crossformer,0.015393913239822778,6.581448175993042,4.8257842166776754e-11,11,2.4128921083388377e-10
jena,abs,agg,DLinear,-0.3981737890436316,-16.340128054927145,0.0,11,0.0
jena,abs,T,DLinear,-0.1640342983651405,-6.387602662851187,1.7386714290523742e-10,11,1.7386714290523742e-10
jena,abs,RH,DLinear,-0.5570239673535327,-8.282889031305286,0.0,11,0.0
jena,abs,P,DLinear,-0.7937219227895151,-16.58857035462313,0.0,11,0.0
jena,abs,WS,DLinear,-0.07791496766633824,-10.192503658754044,0.0,11,0.0
jena,abs,agg,Informer,-0.42698890134429324,-27.89189495385716,0.0,11,0.0
jena,abs,T,Informer,-0.9866720947955171,-26.44622254832988,0.0,11,0.0
jena,abs,RH,Informer,-0.26437747897449015,-7.214686258373199,5.684341886080801e-13,11,1.7053025658242404e-12
jena,abs,P,Informer,-0.4502863422357593,-20.07371785392777,0.0,11,0.0
jena,abs,WS,Informer,-0.006619689371406477,-2.221409858104386,0.02633925225315048,11,0.02633925225315048
jena,abs,agg,LSTM,-0.32917082079065874,-18.270821936255338,0.0,11,0.0
jena,abs,T,LSTM,-0.5060193935434366,-15.368412567915668,0.0,11,0.0
jena,abs,RH,LSTM,-0.4523856584160203,-8.634072280507743,0.0,11,0.0
jena,abs,P,LSTM,-0.32174040759904604,-12.408308286350806,0.0,11,0.0
jena,abs,WS,LSTM,-0.03653782360413216,-6.803514072681008,1.0627276836316923e-11,11,6.376366101790154e-11
jena,abs,agg,PatchTST,-0.3228286914753325,-15.713405314295015,0.0,11,0.0
jena,abs,T,PatchTST,-0.4054388487912337,-13.351666521686402,0.0,11,0.0
jena,abs,RH,PatchTST,-0.601332021175575,-9.376707119388694,0.0,11,0.0
jena,abs,P,PatchTST,-0.22776150714858545,-8.536175243379885,0.0,11,0.0
jena,abs,WS,PatchTST,-0.056782388785935584,-9.549177105724414,0.0,11,0.0
jena,abs,agg,TFT,-0.3594907442778209,-21.232265345063997,0.0,11,0.0
jena,abs,T,TFT,-0.5484793544709079,-17.511300651294274,0.0,11,0.0
jena,abs,RH,TFT,-0.3963252720834196,-8.089323611767888,6.661338147750939e-16,11,3.3306690738754696e-15
jena,abs,P,TFT,-0.4659246663578221,-18.783202197100074,0.0,11,0.0
jena,abs,WS,TFT,-0.027233684199133894,-6.117305498332464,9.772240794347908e-10,11,3.908896317739163e-09
jena,abs,agg,TimesNet,-0.28548087654154713,-16.225749033023693,0.0,11,0.0
jena,abs,T,TimesNet,-0.4708698744027592,-14.90035019547358,0.0,11,0.0
jena,abs,RH,TimesNet,-0.27031656454192543,-5.4006721576531955,6.748307246340346e-08,11,6.748307246340346e-08
jena,abs,P,TimesNet,-0.3731447150181312,-13.420595122424423,0.0,11,0.0
