model,dataset,ablation,seed,missing_rate,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,lambda_ent,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE
XAI-MeteoFormer,beijing_aotizhongxin,full,0,0.0,1892255.0,361.4,3.31,0.1702344414404369,24.0,96,24,256,2,0.0005,0.01,4.233922004699707,8.36015510559082,69.8921890258789,27.11214637756348,0.6346084475517273,1.9664772748947144,2.5415213108062744,11.949578285217283,16.161399841308594,26.548704147338867,2.310746669769287,3.3075315952301025,0.2275752425193786,0.7088889479637146,0.9893510937690736,1.8449501991271973,3.615478277206421,3.4563405513763428,6.8996758460998535,4.51899003982544,8.842947006225586,5.274002552032471,9.809614181518556,0.8811578438481992,0.6137627084689738,0.8524624373956594,0.7136825553970242,0.9484866896952586,0.758534935599356,0.1737490935460478
XAI-MeteoFormer,beijing_aotizhongxin,full,1,0.0,1892255.0,329.4,3.3,0.1696099687377576,22.0,96,24,256,2,0.0005,0.01,4.221112251281738,8.297155380249023,68.84278869628906,26.98105812072754,0.639452338218689,1.931767821311951,2.543262243270874,11.927726745605469,16.036035537719727,26.79862403869629,2.318208694458008,3.2836318016052246,0.2283537089824676,0.7067456245422363,0.9830656051635742,1.9794461727142327,3.8127496242523193,3.5514137744903564,7.057391166687012,4.478645324707031,8.72995662689209,5.216378688812256,9.735641479492188,0.8766316171138506,0.5981308411214953,0.8836950473010573,0.7133972568123429,0.9482512644596128,0.7551914387932368,0.1737490935460478
XAI-MeteoFormer,beijing_aotizhongxin,full,2,0.0,1892255.0,314.2,3.33,0.1706163669128772,21.0,96,24,256,2,0.0005,0.01,4.128878116607666,8.072880744934082,65.1714096069336,26.80909919738769,0.6459881663322449,1.9666625261306765,2.605483293533325,11.577489852905272,15.567123413085938,27.08258628845215,2.282720804214477,3.255138397216797,0.2248058021068573,0.6886328458786011,0.9828010201454164,1.9995121955871584,3.851297378540039,3.5190694332122803,6.908323764801025,4.365245342254639,8.48987102508545,5.150089740753174,9.56404972076416,0.869809040367416,0.5850561691683187,0.8622008903728436,0.6970924020021371,0.9423337845427452,0.7350364756691882,0.1737490935460478
XAI-MeteoFormer,beijing_aotizhongxin,full,3,0.0,1892255.0,358.9,3.3,0.1753347350462087,24.0,96,24,256,2,0.0005,0.01,4.334496021270752,8.56698226928711,73.3931884765625,27.54737091064453,0.6295945644378662,1.9429192543029783,2.559722900390625,12.43769359588623,16.598949432373047,27.654680252075195,2.2595086097717285,3.243349552154541,0.2226020842790603,0.6978626847267151,0.9880025386810304,2.031411409378052,4.032095432281494,3.72316312789917,7.467593669891357,4.667302131652832,9.255950927734377,5.191483974456787,9.645456314086914,0.8763475948755136,0.6107814838571735,0.7948316638842515,0.6907568613226938,0.9352354243809456,0.7060384387440622,0.1737490935460478
XAI-MeteoFormer,beijing_aotizhongxin,full,4,0.0,1892255.0,314.7,3.34,0.1714581067068653,21.0,96,24,256,2,0.0005,0.01,4.217447757720947,8.229209899902344,67.71990203857422,26.908823013305664,0.6426210403442383,2.0009562969207764,2.623728036880493,11.808167457580566,15.861970901489258,26.573034286499023,2.374264001846313,3.3822731971740723,0.2337952107191085,0.6864014267921448,0.9765985608100892,2.0961227416992188,4.034398078918457,3.542133092880249,7.047692775726318,4.477078437805176,8.655932426452637,5.181057929992676,9.590086936950684,0.870896785109983,0.5867624953025179,0.8688786867000556,0.7004822790489008,0.9449040587890652,0.7521125333115999,0.1737490935460478
DLinear,beijing_aotizhongxin,full,0,0.0,4656.0,35.7,1.61,0.1813958281871665,17.0,96,24,256,2,0.0005,0.0,4.370866298675537,8.364294052124023,69.96141052246094,28.02305603027344,0.6226584911346436,2.067016363143921,2.6682190895080566,11.888334274291992,16.02195930480957,29.697751998901367,2.808370590209961,3.8762552738189697,0.276648610830307,0.7197418808937073,0.9988617300987244,1.513930320739746,3.04453444480896,3.851871252059937,7.268893718719482,4.747697830200195,8.918024063110352,5.315508365631104,9.675407409667969,0.7000120860526952,0.3667627624563104,1.0,0.5366882571444571,0.9724340984350214,0.8680857058348331,0.1737490935460478
DLinear,beijing_aotizhongxin,full,1,0.0,4656.0,35.4,1.51,0.1818469122056592,17.0,96,24,256,2,0.0005,0.0,4.370772361755371,8.37456226348877,70.13328552246094,27.86449432373047,0.62184739112854,2.059227228164673,2.6766250133514404,11.883844375610352,16.039602279663086,29.582469940185547,2.819514513015747,3.8859710693359375,0.2777368724346161,0.7205022573471069,0.9996055960655212,1.5589107275009155,3.077298641204834,3.80903959274292,7.296165466308594,4.75139856338501,8.933231353759766,5.31899881362915,9.67710018157959,0.7001389896059946,0.3668610363262858,1.0,0.5367934655775962,0.9711123664111878,0.8635894990457496,0.1737490935460478
DLinear,beijing_aotizhongxin,full,2,0.0,4656.0,44.1,1.77,0.1824723739943604,21.0,96,24,256,2,0.0005,0.0,4.355257034301758,8.39818000793457,70.52942657470703,27.51024627685547,0.6195576786994934,1.9893732070922847,2.605621576309204,11.88413143157959,16.09955596923828,29.41621208190918,2.8235793113708496,3.889007806777954,0.2781425714492798,0.7239437699317932,1.0041449069976809,1.6104798316955566,3.0927510261535645,3.804576396942138,7.27655029296875,4.738935947418213,8.949922561645508,5.288064479827881,9.726322174072266,0.7002054628958182,0.3669125341364437,1.0,0.5368485912205687,0.9722543822214224,0.8680094617772994,0.1737490935460478
DLinear,beijing_aotizhongxin,full,3,0.0,4656.0,51.8,1.53,0.1820527339249119,24.0,96,24,256,2,0.0005,0.0,4.358431816101074,8.379085540771484,70.20906829833984,27.702299118041992,0.6211843490600586,2.016381025314331,2.6341569423675537,11.881067276000977,16.05677032470703,29.56013298034668,2.814025402069092,3.882594108581543,0.2772126197814941,0.7222535014152527,1.0015240907669067,1.511401653289795,3.012202739715576,3.818050146102905,7.29876184463501,4.7509942054748535,8.960500717163086,5.322100639343262,9.67750072479248,0.7006043026347595,0.3672218248697251,1.0,0.5371795829908078,0.9719452929021845,0.867003413503739,0.1737490935460478
DLinear,beijing_aotizhongxin,full,4,0.0,4656.0,43.4,1.56,0.1820063218232414,20.0,96,24,256,2,0.0005,0.0,4.35593843460083,8.386488914489746,70.33319854736328,27.59768295288086,0.6209675669670105,2.000499963760376,2.61744236946106,11.881394386291504,16.0742244720459,29.44474220275879,2.819976091384888,3.885575771331787,0.277786910533905,0.7218798398971558,1.0016707181930542,1.5325957536697388,3.0367953777313232,3.815707683563232,7.286460876464844,4.742567539215088,8.946066856384277,5.327303886413574,9.672287940979004,0.6998247522359198,0.3666177876952502,1.0,0.5365330248094274,0.9722233066229784,0.867045783347469,0.1737490935460478
PatchTST,beijing_aotizhongxin,full,0,0.0,1657880.0,334.5,4.59,0.1797696303302361,13.0,96,24,256,2,0.0005,0.0,4.343411922454834,8.32275676727295,69.26828002929688,27.4775505065918,0.6245524883270264,2.117337226867676,2.780898094177246,11.980268478393556,15.985722541809082,28.67871284484864,2.572183132171631,3.576022386550904,0.253315269947052,0.7038589119911194,1.0042083263397217,1.899553894996643,3.533867120742798,3.8132307529449454,7.217921733856201,4.701274871826172,8.82358455657959,5.280282020568848,9.629237174987791,0.7036620739666425,0.3696104897801774,1.0,0.539730810384637,0.9717345903757773,0.8630622149222378,0.1737490935460478
PatchTST,beijing_aotizhongxin,full,1,0.0,1657880.0,308.3,4.5,0.1795761105116398,12.0,96,24,256,2,0.0005,0.0,4.346999168395996,8.314706802368164,69.13434600830078,27.467514038085938,0.630010724067688,2.0712060928344727,2.7193832397460938,12.010565757751465,15.974641799926758,29.03495216369629,2.603802442550659,3.601101875305176,0.2564676105976105,0.7024227976799011,0.9925566911697388,1.8498156070709229,3.452537775039673,3.793122291564941,7.1981282234191895,4.710824012756348,8.849154472351074,5.252719402313232,9.630701065063477,0.702356780275562,0.3685870317667871,1.0,0.5386387905356039,0.9715028937693324,0.8611876463717374,0.1737490935460478
PatchTST,beijing_aotizhongxin,full,2,0.0,1657880.0,410.6,4.51,0.1799358173408514,16.0,96,24,256,2,0.0005,0.0,4.425920486450195,8.397188186645508,70.51277160644531,27.66053009033203,0.6279088258743286,2.259127140045166,2.9426348209381104,12.243829727172852,16.127872467041016,29.817045211791992,2.5042219161987305,3.5074031352996826,0.246680662035942,0.6965023875236511,0.9908732771873474,1.9628502130508425,3.607893466949463,3.822408199310303,7.26513147354126,4.754697799682617,8.915902137756348,5.356767654418945,9.700713157653809,0.703758762388204,0.3696865276313421,1.0,0.5398118769126786,0.9691550809167788,0.8451081746224317,0.1737490935460478
PatchTST,beijing_aotizhongxin,full,3,0.0,1657880.0,436.1,4.54,0.1808684104693333,17.0,96,24,256,2,0.0005,0.0,4.413276672363281,8.37486457824707,70.13835906982422,27.80501937866211,0.626232385635376,2.3711533546447754,3.0589492321014404,12.098743438720703,16.071908950805664,29.819435119628903,2.482954263687134,3.4493870735168457,0.2446377873420715,0.7002530694007874,0.9958422780036926,2.2870118618011475,4.0206708908081055,3.887413501739502,7.344806671142578,4.691445827484131,8.81151008605957,5.268847942352295,9.698870658874512,0.7085387962291516,0.3734850551420443,1.0,0.5438501915165271,0.9692937314613512,0.8460871621732603,0.1737490935460478
