model,dataset,ablation,seed,AUC,AP,F1,Precision,Recall,TN,FP,FN,TP,pos_rate
Autoformer,beijing_aotizhongxin,full,0,0.9607865005651849,0.8224393001990604,0.745427264932838,0.7662309048178614,0.725723427935448,130362,6366,7886,20866,0.17374909354604787
Autoformer,beijing_aotizhongxin,full,1,0.960734943706765,0.8067257915426547,0.7502769142816308,0.7713613988685621,0.7303144129104062,130504,6224,7754,20998,0.17374909354604787
Autoformer,beijing_aotizhongxin,full,2,0.9608742607139181,0.8173309315924748,0.7607526436857696,0.7256511444356748,0.7994226488592098,128038,8690,5767,22985,0.17374909354604787
Autoformer,beijing_aotizhongxin,full,3,0.9624910546731061,0.8206854997614383,0.7456213210068253,0.7753285767930905,0.7181065664997217,130745,5983,8105,20647,0.17374909354604787
Autoformer,beijing_aotizhongxin,full,4,0.9608597135146596,0.8178286466852901,0.7537223201022558,0.7486788827122366,0.7588341680578742,129404,7324,6934,21818,0.17374909354604787
Crossformer,beijing_aotizhongxin,full,0,0.9767497604682612,0.889525531479809,0.8197557506498602,0.7734382230448866,0.8719741235392321,129384,7344,3681,25071,0.17374909354604787
Crossformer,beijing_aotizhongxin,full,1,0.9752815104617165,0.8792057107013949,0.8094070615425457,0.7344764064049879,0.9013633834168058,127359,9369,2836,25916,0.17374909354604787
Crossformer,beijing_aotizhongxin,full,2,0.9778069285966764,0.8944940956281171,0.8178746556235164,0.8149235178343289,0.820847245409015,131368,5360,5151,23601,0.17374909354604787
Crossformer,beijing_aotizhongxin,full,3,0.9765689238598392,0.8902800927764631,0.8150079577393248,0.7940613658858463,0.8370895937673901,130486,6242,4684,24068,0.17374909354604787
Crossformer,beijing_aotizhongxin,full,4,0.9773614339740753,0.8926816776930995,0.8251455779686645,0.767582450469863,0.8920422927100723,128962,7766,3104,25648,0.17374909354604787
DLinear,beijing_aotizhongxin,full,0,0.9724340975447088,0.868085755932157,0.6824840900354504,0.8840876397034414,0.5557526432943796,134633,2095,12773,15979,0.17374909354604787
DLinear,beijing_aotizhongxin,full,1,0.9711123647577501,0.8635895647249555,0.7006652806652807,0.8709427330990284,0.5860809682804674,134231,2497,11901,16851,0.17374909354604787
DLinear,beijing_aotizhongxin,full,2,0.972254380186422,0.8680095319308768,0.7400296296296296,0.8563982992730764,0.6515025041736227,133587,3141,10020,18732,0.17374909354604787
DLinear,beijing_aotizhongxin,full,3,0.9719452945556222,0.8670034780149075,0.7169857583621094,0.8690375947298034,0.6102184195882026,134084,2644,11207,17545,0.17374909354604787
DLinear,beijing_aotizhongxin,full,4,0.9722233068773534,0.867045851472866,0.729096721014857,0.8639287245700129,0.6306691708402894,133872,2856,10619,18133,0.17374909354604787
Informer,beijing_aotizhongxin,full,0,0.9721260740568498,0.873520558673486,0.7946004526184937,0.7333352944637289,0.8670353366722315,127663,9065,3823,24929,0.17374909354604787
Informer,beijing_aotizhongxin,full,1,0.9736379729108582,0.87777124962053,0.7958115183246073,0.7043445652756201,0.9145798553144129,125690,11038,2456,26296,0.17374909354604787
Informer,beijing_aotizhongxin,full,2,0.9705507448811116,0.8627544805955956,0.7896181682056401,0.7568653717347622,0.8253338898163606,129105,7623,5022,23730,0.17374909354604787
