model,dataset,ablation,seed,AUC,AP,F1,Precision,Recall,TN,FP,FN,TP,pos_rate
Autoformer,jena,full,0,0.9677932644710605,0.6931436921985317,0.631453804347826,0.6462995958454653,0.6172747270991574,301560,8139,9221,14872,0.07217968075927524
Autoformer,jena,full,1,0.9617434172460297,0.6581706192773664,0.597496732285024,0.5713798719745464,0.6261154692234259,298383,11316,9008,15085,0.07217968075927524
Autoformer,jena,full,2,0.9657238896035039,0.6815718114772585,0.6335554209569958,0.5823445492188315,0.6946415971443988,297696,12003,7357,16736,0.07217968075927524
Autoformer,jena,full,3,0.9649541606675318,0.6745733610432472,0.6190147423140966,0.6059714546972528,0.6326318847798116,299788,9911,8851,15242,0.07217968075927524
Autoformer,jena,full,4,0.9644980357035084,0.6700537767562113,0.6120070528533953,0.6349440057109713,0.5906694890632134,301517,8182,9862,14231,0.07217968075927524
Crossformer,jena,full,0,0.9804658433024138,0.798044780975458,0.7397227533460803,0.7110855829982768,0.7707632922425601,302154,7545,5523,18570,0.07217968075927524
Crossformer,jena,full,1,0.9795930334900806,0.7756724969681367,0.6932954291372536,0.5634588925521145,0.9008840742124269,292883,16816,2388,21705,0.07217968075927524
Crossformer,jena,full,2,0.9802720169430778,0.7923736908270149,0.7266790258700598,0.7378395721925134,0.7158510770763292,303571,6128,6846,17247,0.07217968075927524
Crossformer,jena,full,3,0.9795763109549972,0.7833494647886087,0.7195846553216037,0.6703568357695615,0.7766156144938364,300498,9201,5382,18711,0.07217968075927524
Crossformer,jena,full,4,0.9779960383251407,0.7783479956711769,0.7041250194786403,0.7593143844824275,0.6564147262690408,304686,5013,8278,15815,0.07217968075927524
DLinear,jena,full,0,0.9647230864231318,0.694340004038815,0.5431433803727244,0.7733721911189508,0.4185448055451791,306744,2955,14009,10084,0.07217968075927524
DLinear,jena,full,1,0.9649502547243154,0.6947267302572177,0.5591330296843097,0.7569636402296407,0.44328228116050306,306270,3429,13413,10680,0.07217968075927524
DLinear,jena,full,2,0.9649868160923992,0.6921641838970068,0.5605182050880217,0.7560064820686254,0.4453575727389698,306236,3463,13363,10730,0.07217968075927524
DLinear,jena,full,3,0.964921215022553,0.692028412107418,0.5559487300463946,0.7543747332479727,0.44016934379280287,306246,3453,13488,10605,0.07217968075927524
DLinear,jena,full,4,0.9646240223244509,0.694819672899245,0.5460890105760455,0.772889598054859,0.42219731872328065,306710,2989,13921,10172,0.07217968075927524
Informer,jena,full,0,0.9747421805651304,0.740166625702761,0.6998001432934877,0.6411470029366039,0.7702652222637281,299312,10387,5535,18558,0.07217968075927524
Informer,jena,full,1,0.9718649646491594,0.7320554799027958,0.6571555668530757,0.5323415098710458,0.8584236085169966,291530,18169,3411,20682,0.07217968075927524
Informer,jena,full,2,0.9743877884382212,0.7463742066578898,0.6990137783606086,0.6162032051688098,0.8075374590129913,297581,12118,4637,19456,0.07217968075927524
Informer,jena,full,3,0.9745517184405414,0.7424772008627079,0.7034947615209906,0.6295774186145625,0.7970779894575187,298400,11299,4889,19204,0.07217968075927524
Informer,jena,full,4,0.9752010584990994,0.7403386375730179,0.6983509094769623,0.6086420133855597,0.8190760801892666,297010,12689,4359,19734,0.07217968075927524
LSTM,jena,full,0,0.968792762632576,0.7054644273760209,0.6508005380309801,0.6817417390118631,0.622545967708463,302697,7002,9094,14999,0.07217968075927524
LSTM,jena,full,1,0.9713713467446699,0.7109368154725418,0.6762195357460121,0.6323088591137275,0.7266840991159258,299518,10181,6585,17508,0.07217968075927524
LSTM,jena,full,2,0.9722530246543329,0.7268262026512939,0.6840654751962586,0.6882325757257488,0.679948532768854,302278,7421,7711,16382,0.07217968075927524
LSTM,jena,full,3,0.9696773876400218,0.7009059294674823,0.6701438476663562,0.6683593427462637,0.6719379072759722,301666,8033,7904,16189,0.07217968075927524
LSTM,jena,full,4,0.9703264419681353,0.7207720950578794,0.6577576543508363,0.699074939263689,0.621051757771967,303258,6441,9130,14963,0.07217968075927524
PatchTST,jena,full,0,0.9698054210130032,0.7225236509230981,0.6404775839868898,0.7345612716142197,0.5677582700369402,304756,4943,10414,13679,0.07217968075927524
PatchTST,jena,full,1,0.9685134380047231,0.6966628519380696,0.5926935659760088,0.7355890495232236,0.49628522807454445,305401,4298,12136,11957,0.07217968075927524
PatchTST,jena,full,2,0.9683294188872239,0.7099720831239016,0.6201620591039085,0.7282140258577265,0.5400323745486241,304843,4856,11082,13011,0.07217968075927524
PatchTST,jena,full,3,0.969753492587188,0.7184838876682915,0.6338323706236001,0.7336535312738784,0.5579213879550077,304819,4880,10651,13442,0.07217968075927524
PatchTST,jena,full,4,0.9695034774431729,0.7022257700029865,0.6063105399443752,0.717797331819472,0.5247997343626779,304728,4971,11449,12644,0.07217968075927524
TFT,jena,full,0,0.9721735534621209,0.7426198599592359,0.6802059246978753,0.7168605453124282,0.6471174199975096,303541,6158,8502,15591,0.07217968075927524
TFT,jena,full,1,0.962511513886529,0.667271942452404,0.6333374480516809,0.6279117203116713,0.6388577595152118,300578,9121,8701,15392,0.07217968075927524
TFT,jena,full,2,0.9749735506584779,0.7596204821422783,0.6858553356547803,0.7311686480898454,0.6458307392188603,303978,5721,8533,15560,0.07217968075927524
TFT,jena,full,3,0.9717707239939868,0.7367237422626964,0.6906272814061886,0.6289893617021277,0.7656580749595319,298818,10881,5646,18447,0.07217968075927524
TFT,jena,full,4,0.9718010395652761,0.7407070643254633,0.6863477156383511,0.6398507302020165,0.7401319885443904,299662,10037,6261,17832,0.07217968075927524
TimesNet,jena,full,0,0.9740950616185121,0.7493894578840005,0.6930677602030854,0.6544234244201055,0.7365624870294276,300328,9371,6347,17746,0.07217968075927524
TimesNet,jena,full,1,0.9749862502509652,0.7622564474111911,0.7063556255587247,0.7249333741098344,0.6887062632299839,303403,6296,7500,16593,0.07217968075927524
