model,dataset,ablation,seed,AUC,AP,F1,Precision,Recall,TN,FP,FN,TP,pos_rate
DLinear,jena,full,0,0.9647230864231318,0.694340004038815,0.5431433803727244,0.7733721911189508,0.4185448055451791,306744,2955,14009,10084,0.07217968075927524
DLinear,jena,full,1,0.9649502547243154,0.6947267302572177,0.5591330296843097,0.7569636402296407,0.44328228116050306,306270,3429,13413,10680,0.07217968075927524
DLinear,jena,full,2,0.9649868160923992,0.6921641838970068,0.5605182050880217,0.7560064820686254,0.4453575727389698,306236,3463,13363,10730,0.07217968075927524
DLinear,jena,full,3,0.964921215022553,0.692028412107418,0.5559487300463946,0.7543747332479727,0.44016934379280287,306246,3453,13488,10605,0.07217968075927524
DLinear,jena,full,4,0.9646240223244509,0.694819672899245,0.5460890105760455,0.772889598054859,0.42219731872328065,306710,2989,13921,10172,0.07217968075927524
LSTM,jena,full,0,0.968792762632576,0.7054644273760209,0.6508005380309801,0.6817417390118631,0.622545967708463,302697,7002,9094,14999,0.07217968075927524
LSTM,jena,full,1,0.9713713467446699,0.7109368154725418,0.6762195357460121,0.6323088591137275,0.7266840991159258,299518,10181,6585,17508,0.07217968075927524
LSTM,jena,full,2,0.9722530246543329,0.7268262026512939,0.6840654751962586,0.6882325757257488,0.679948532768854,302278,7421,7711,16382,0.07217968075927524
LSTM,jena,full,3,0.9696773876400218,0.7009059294674823,0.6701438476663562,0.6683593427462637,0.6719379072759722,301666,8033,7904,16189,0.07217968075927524
LSTM,jena,full,4,0.9703264419681353,0.7207720950578794,0.6577576543508363,0.699074939263689,0.621051757771967,303258,6441,9130,14963,0.07217968075927524
XAI-MeteoFormer,jena,full,0,0.9711915605119532,0.7336430664949636,0.6907057943303683,0.6917121092286559,0.6897024031876479,302293,7406,7476,16617,0.07217968075927524
XAI-MeteoFormer,jena,full,1,0.9714857065354808,0.7394320876223388,0.6841043714570816,0.7002347009735744,0.6687004524135641,302802,6897,7982,16111,0.07217968075927524
XAI-MeteoFormer,jena,full,2,0.9720756125842913,0.7429402101308876,0.6866577420794289,0.7424132773676847,0.6386917361889346,304360,5339,8705,15388,0.07217968075927524
XAI-MeteoFormer,jena,full,3,0.971373441676866,0.7394813859471926,0.6923894247796829,0.6950974650715301,0.6897024031876479,302410,7289,7476,16617,0.07217968075927524
XAI-MeteoFormer,jena,full,4,0.9717204651881889,0.7383168102158424,0.6783384671136076,0.7465476843312229,0.621549827750799,304615,5084,9118,14975,0.07217968075927524
