model,dataset,ablation,seed,missing_rate,lambda_ent,norm_variant,width,bl_d_model,bl_d_ff,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE
Crossformer,jena,full,0,0.0,0.0,off,256x1024,256.0,1024.0,10608420,911.0,8.97,0.1502900699797483,14,96,24,256,2,0.0005,3.14394211769104,5.2019219398498535,27.05998992919922,22.64963150024414,0.6785923838615417,2.611106634140014,3.194211006164551,6.9872355461120605,9.320083618164062,10.217828750610352,2.1380765438079834,3.120190143585205,0.2160812318325042,0.8393490314483643,1.1989225149154663,1.505604863166809,2.267310857772827,2.628035545349121,4.480627059936523,3.2824769020080566,5.37087345123291,3.9267611503601074,6.159481525421143,0.7748807640686416,0.242587736990722,0.9984227784003652,0.3903353265234923,0.97794609037852,0.7759484816728461,0.0721796807592752
Crossformer,jena,full,1,0.0,0.0,off,256x1024,256.0,1024.0,10608420,640.3,9.01,0.1515334011092684,10,96,24,256,2,0.0005,3.131655216217041,5.211201190948486,27.1566162109375,22.41929244995117,0.671094536781311,2.3669629096984863,2.993690013885498,7.084682941436768,9.382116317749023,10.266900062561035,2.2349064350128174,3.180859327316284,0.2256055623292923,0.8400732278823853,1.2338299751281738,1.5288920402526855,2.2450625896453857,2.612510204315185,4.53978967666626,3.277849674224853,5.400679111480713,3.968427896499634,6.184664726257324,0.7423904707122999,0.2184978669601681,0.997011580127008,0.3584421398194434,0.9764089546025166,0.7696729514085985,0.0721796807592752
Crossformer,jena,full,2,0.0,0.0,off,256x1024,256.0,1024.0,10608420,703.3,9.18,0.1507357697889055,11,96,24,256,2,0.0005,3.1595118045806885,5.249135494232178,27.553422927856445,22.864805221557617,0.6749237179756165,2.67710542678833,3.308375835418701,7.015778541564941,9.39730453491211,10.350565910339355,2.095943689346313,3.085333108901977,0.211635485291481,0.8492210507392883,1.1998846530914309,1.4557697772979736,2.263232469558716,2.6822025775909424,4.551138877868652,3.3641982078552246,5.518226623535156,4.08473014831543,6.336942195892334,0.7725859217716422,0.2406346981679847,0.9976756734321172,0.3877467072098594,0.9795245121264332,0.7799923211580011,0.0721796807592752
Crossformer,jena,full,3,0.0,0.0,off,256x1024,256.0,1024.0,10608420,766.5,9.25,0.1568342307867582,12,96,24,256,2,0.0005,3.213452816009521,5.298388481140137,28.072921752929688,23.38558387756348,0.6660815477371216,2.9699535369873047,3.603881120681762,6.938281059265137,9.40038776397705,10.086311340332031,2.103777408599853,3.0800857543945312,0.2125493884086609,0.8418028950691223,1.2039536237716677,1.6317129135131836,2.465629816055298,2.6855340003967285,4.557143688201904,3.401009321212769,5.5595879554748535,4.12755823135376,6.329677581787109,0.7963132729364395,0.260977522216414,0.9946457477275558,0.4134682574600792,0.9784329189684768,0.7789564272401348,0.0721796807592752
Crossformer,jena,full,4,0.0,0.0,off,256x1024,256.0,1024.0,10608420,771.3,9.14,0.1525762381525806,12,96,24,256,2,0.0005,3.224544048309326,5.223248481750488,27.282325744628903,23.42244529724121,0.6714500188827515,2.9161744117736816,3.526463031768799,6.979907512664795,9.24722385406494,10.372693061828612,2.162954807281494,3.121840715408325,0.2184710502624511,0.8391386866569519,1.1984574794769287,1.5121644735336304,2.2672348022460938,2.844081401824951,4.612675189971924,3.384479761123657,5.410454273223877,3.981600046157837,6.197702884674072,0.8016519269485188,0.2659449125225085,0.993068526127921,0.4195372570336405,0.9784519790117904,0.7733669238514874,0.0721796807592752
Crossformer,jena,full,0,0.0,0.0,off,256x512,256.0,512.0,7981860,769.6,9.2,0.1474757069589679,12,96,24,256,2,0.0005,3.1363091468811035,5.197641849517822,27.01548194885254,22.380334854125977,0.6803666353225708,2.3704545497894287,3.043566942214966,7.020945549011231,9.326592445373535,10.346586227416992,2.3023054599761963,3.2220847606658936,0.2323222607374191,0.8515295386314392,1.196446180343628,1.6119329929351809,2.455035448074341,2.6487717628479004,4.501721858978272,3.228384017944336,5.375902652740479,3.899781465530396,6.130308151245117,0.7354819767999233,0.2140954959608824,0.9977171792636864,0.3525408814255334,0.9783920528809396,0.7913624203218891,0.0721796807592752
Crossformer,jena,full,1,0.0,0.0,off,256x512,256.0,512.0,7981860,696.6,8.19,0.1490896951483397,11,96,24,256,2,0.0005,3.0919580459594727,5.23919677734375,27.449180603027344,22.508590698242188,0.6769891381263733,2.395059108734131,3.07308292388916,6.996220111846924,9.447850227355955,9.941203117370604,2.1360371112823486,3.103349208831787,0.2158887386322021,0.8405109643936157,1.2084015607833862,1.4650723934173584,2.2229559421539307,2.5400421619415283,4.485377311706543,3.294631242752075,5.544923305511475,3.9207937717437744,6.17785120010376,0.7334238088390375,0.2128392133260165,0.9980907317478106,0.3508590187853365,0.9779476941277524,0.7634765712408813,0.0721796807592752
Crossformer,jena,full,2,0.0,0.0,off,256x512,256.0,512.0,7981860,696.2,8.26,0.1531701072343596,11,96,24,256,2,0.0005,3.264817953109741,5.350579738616943,28.628705978393555,23.35857009887696,0.6700871586799622,2.694650411605835,3.287419557571411,7.30910062789917,9.61477756500244,11.168806076049805,2.1924760341644287,3.133842945098877,0.2216445207595825,0.8630423545837402,1.2011289596557615,1.8477977514266968,2.587464094161988,2.854006052017212,4.74030876159668,3.521658420562744,5.61896562576294,4.049745082855225,6.314007759094238,0.7733678458441184,0.2411455770563248,0.9967210393060224,0.3883372683463242,0.97807379017595,0.7615299748438852,0.0721796807592752
Crossformer,jena,full,3,0.0,0.0,off,256x512,256.0,512.0,7981860,824.2,8.1,0.1521362306680662,13,96,24,256,2,0.0005,3.246325969696045,5.2148756980896,27.19492721557617,22.52204132080078,0.673477292060852,2.429610252380371,3.044349193572998,7.157070159912109,9.2759428024292,10.5244140625,2.554405450820923,3.4672412872314453,0.2574468851089477,0.8442184925079346,1.2028191089630127,1.6767224073410034,2.421748876571656,2.805304765701294,4.570297718048096,3.387678384780884,5.397141933441162,4.013562202453613,6.157225608825684,0.7596377384718627,0.2305979460600825,0.9972191092848546,0.3745780812734345,0.9786549681112244,0.7869454203665843,0.0721796807592752
Crossformer,jena,full,4,0.0,0.0,off,256x512,256.0,512.0,7981860,886.6,7.98,0.1508071190520448,14,96,24,256,2,0.0005,3.1821863651275635,5.204597473144531,27.087833404541016,22.33388900756836,0.6729183793067932,2.3831026554107666,3.062108039855957,7.022862911224365,9.26638126373291,10.118145942687988,2.4739327430725098,3.4128434658050537,0.2494610399007797,0.8488475680351257,1.2089260816574097,1.5967785120010376,2.372404098510742,2.6606876850128174,4.463061809539795,3.306818723678589,5.370205879211426,4.016154766082764,6.202413082122803,0.7399248633879781,0.2168947710530117,0.9971776034532852,0.3562927755244288,0.9752725694448404,0.757662396764092,0.0721796807592752
