model,dataset,ablation,seed,missing_rate,lambda_ent,norm_variant,width,bl_d_model,bl_d_ff,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE
XAI-MeteoFormer,jena,no_revin+no_multiscale,0,0.0,0.01,off,default,,,1755512,532.7,5.65,0.144362569098486,22,96,24,256,2,0.0005,3.036849975585937,5.249452590942383,27.556751251220703,21.469955444335938,0.6819868087768555,1.867597937583924,2.4620072841644287,7.218311786651611,9.612354278564451,10.694589614868164,2.210848808288574,3.2071645259857178,0.2232794016599655,0.8506423830986023,1.2174910306930542,1.2069082260131836,2.060536623001098,2.5218489170074463,4.57581090927124,3.1746859550476074,5.371511459350586,3.9347243309021,6.28415584564209,0.943216134598792,0.5739914187807758,0.8273357406715643,0.6777626657599456,0.9737068950675114,0.7693238795920162,0.0721796807592752
XAI-MeteoFormer,jena,no_revin+no_multiscale,2,0.0,0.01,off,default,,,1755512,423.3,5.93,0.1458132421943993,17,96,24,256,2,0.0005,3.032197952270508,5.32797384262085,28.387306213378903,21.59221839904785,0.6807368993759155,1.8970694541931152,2.4892022609710693,7.221380233764648,9.797228813171388,10.253168106079102,2.1584975719451904,3.145770311355591,0.2180193364620208,0.8518440127372742,1.2130765914916992,1.302421808242798,2.310849666595459,2.5331227779388428,4.720147132873535,3.212710380554199,5.641255855560303,3.8399484157562256,6.2199883460998535,0.94828216374269,0.6035727283755914,0.8260075540613456,0.6974853237536143,0.9772733561398256,0.7639555217492051,0.0721796807592752
XAI-MeteoFormer,jena,no_revin+no_multiscale,4,0.0,0.01,off,default,,,1755512,494.0,5.86,0.1449904916128399,20,96,24,256,2,0.0005,3.0446126461029053,5.217772960662842,27.225154876708984,21.917552947998047,0.6832830905914307,1.9121580123901367,2.4911141395568848,7.139261245727539,9.510757446289062,10.377274513244627,2.276034355163574,3.282355070114136,0.2297211736440658,0.8509953618049622,1.2110316753387451,1.3860200643539429,2.219160556793213,2.5645415782928467,4.61852502822876,3.1647708415985107,5.406960487365723,3.865957498550415,6.170454025268555,0.9415594142459977,0.5637050619547702,0.8421533225418171,0.675354069931932,0.9743913944448828,0.7581946772207526,0.0721796807592752
XAI-MeteoFormer,jena,no_revin+no_var_attn,1,0.0,0.01,off,default,,,1892475,563.2,6.6,0.1442866682191295,17,96,24,256,2,0.0005,3.036338806152344,5.260632514953613,27.67425537109375,21.29600143432617,0.6841528415679932,1.824950098991394,2.4026095867156982,7.137393951416016,9.63425350189209,10.261813163757324,2.330432891845703,3.2630932331085205,0.2352736890316009,0.8525774478912354,1.2074298858642578,1.35441792011261,2.2475593090057373,2.606571674346924,4.629983425140381,3.151491641998291,5.408266067504883,3.827367782592773,6.140237808227539,0.9382909117054932,0.5446622536867125,0.8845307765741086,0.6741853843720341,0.9784997378772294,0.795463393314006,0.0721796807592752
XAI-MeteoFormer,jena,no_revin+no_var_attn,3,0.0,0.01,off,default,,,1892475,530.1,6.57,0.1465109597308428,16,96,24,256,2,0.0005,3.136157989501953,5.293519020080566,28.02134323120117,23.244112014770508,0.6781179904937744,2.214595079421997,2.8685998916625977,7.309990406036377,9.625082015991213,10.91739273071289,2.155731439590454,3.1233625411987305,0.2178462743759155,0.8643122911453247,1.207848310470581,1.2795361280441284,2.14688491821289,2.6420018672943115,4.62150239944458,3.32857084274292,5.53308629989624,4.007440567016602,6.263479709625244,0.909144017831464,0.4401773376324274,0.9519362470427096,0.6019922044174968,0.9785862561712678,0.7901955643119601,0.0721796807592752
XAI-MeteoFormer,jena,no_revin+no_temp_attn,0,0.0,0.01,off,default,,,1892475,522.0,6.5,0.1434670338880319,16,96,24,256,2,0.0005,3.0534980297088623,5.255873680114746,27.624208450317383,21.85624885559082,0.6828726530075073,1.9397765398025515,2.5307984352111816,7.243130683898926,9.628470420837402,10.644869804382324,2.170915603637696,3.148321866989136,0.2192459553480148,0.8601645827293396,1.2134699821472168,1.4789597988128662,2.432334899902344,2.5960917472839355,4.670352935791016,3.1913609504699707,5.457716464996338,3.876080989837648,6.257376670837402,0.9369936966733774,0.5374785801713586,0.91130203793633,0.6761621729824615,0.9802694109259616,0.8068674534093994,0.0721796807592752
XAI-MeteoFormer,jena,no_revin+no_temp_attn,2,0.0,0.01,off,default,,,1892475,556.2,6.53,0.1426738572085213,17,96,24,256,2,0.0005,2.969289541244507,5.18803596496582,26.91571617126465,21.165769577026367,0.6872221827507019,1.8481340408325195,2.43992567062378,7.023336410522461,9.512866973876951,10.122736930847168,2.154409885406494,3.1211631298065186,0.2175499498844146,0.8512759208679199,1.2138066291809082,1.1943129301071167,2.040672063827514,2.418273687362671,4.424078464508057,3.118893384933472,5.393959999084473,3.8605313301086426,6.193953514099121,0.9433839037484422,0.5683894578868381,0.8960278919188146,0.6955569159390405,0.98077623676045,0.8021533509391854,0.0721796807592752
XAI-MeteoFormer,jena,no_revin+no_temp_attn,4,0.0,0.01,off,default,,,1892475,587.6,6.55,0.1454913526217874,18,96,24,256,2,0.0005,3.087902784347534,5.296975135803223,28.05794715881348,21.793731689453125,0.6753724217414856,2.02363920211792,2.645679712295532,7.198181629180908,9.658607482910156,10.382802963256836,2.26867938041687,3.2322096824646,0.2290443480014801,0.8611117601394653,1.2232236862182615,1.286206841468811,2.086350917816162,2.735459327697754,4.887205600738525,3.229994535446167,5.51359224319458,3.8711910247802734,6.14673376083374,0.949153964145336,0.6111996002373591,0.8122691238118955,0.6975335044197319,0.9763273435814392,0.7687813019847484,0.0721796807592752
XAI-MeteoFormer,jena,no_revin+no_fusion,1,0.0,0.01,off,default,,,1761147,629.2,6.55,0.1460275956597484,19,96,24,256,2,0.0005,3.0486087799072266,5.3043212890625,28.13582420349121,21.85798072814941,0.6831377744674683,1.9563852548599243,2.581373929977417,7.249142646789551,9.737763404846191,10.530847549438477,2.117249727249145,3.0986578464508057,0.2138801366090774,0.8716589212417603,1.2058401107788086,1.12660813331604,2.0047335624694824,2.527027130126953,4.585433483123779,3.251473188400269,5.57762622833252,3.905219793319702,6.261929035186768,0.9315172322883712,0.5145931882686849,0.9030423774540324,0.6555979087882121,0.9775200519457627,0.7883312737965202,0.0721796807592752
XAI-MeteoFormer,jena,no_revin+no_fusion,3,0.0,0.01,off,default,,,1761147,596.1,6.53,0.1476381724992442,18,96,24,256,2,0.0005,3.095864534378052,5.369102478027344,28.827260971069336,21.99736976623535,0.6767992973327637,1.994180679321289,2.615825891494751,7.350889205932617,9.850312232971191,10.737858772277832,2.162638664245605,3.156622648239136,0.2184282541275024,0.8757511973381042,1.2139133214950562,1.1577228307724,1.992055892944336,2.6109414100646973,4.706478118896484,3.2925870418548584,5.6215434074401855,3.925776243209839,6.252270221710205,0.9476380500431406,0.598154138350595,0.8365915411115261,0.697560131510642,0.9778403703151152,0.7819244945460592,0.0721796807592752
XAI-MeteoFormer,jena,no_revin+no_entropy,0,0.0,0.0,off,default,,,1892475,534.1,6.63,0.1441094644100714,16,96,24,256,2,0.0005,3.05269742012024,5.242794513702393,27.486892700195312,21.78580093383789,0.6825234889984131,1.9768086671829224,2.578277349472046,7.197946548461914,9.586581230163574,10.591073036193848,2.1789438724517822,3.150198221206665,0.2200721055269241,0.8570926189422607,1.2139886617660522,1.5334807634353638,2.5345029830932617,2.5845797061920166,4.619537353515625,3.1761722564697266,5.427629470825195,3.900177001953125,6.279167652130127,0.937092560636564,0.5381467695417458,0.9061138089901632,0.6752551809464893,0.9794404311184466,0.7984614829633723,0.0721796807592752
XAI-MeteoFormer,jena,no_revin+no_entropy,2,0.0,0.0,off,default,,,1892475,566.8,6.59,0.1424733262239425,17,96,24,256,2,0.0005,2.966318368911743,5.18766450881958,26.91186141967773,21.154687881469727,0.6880108118057251,1.819867849349976,2.409717321395874,7.036523342132568,9.518421173095703,10.137251853942873,2.1591286659240723,3.125833511352539,0.2180296182632446,0.8497527837753296,1.2122372388839722,1.198796272277832,2.0768191814422607,2.425375938415528,4.44395637512207,3.1107802391052246,5.397815227508545,3.85708212852478,6.201131820678711,0.9425270827341578,0.5638145750461483,0.9000954634126095,0.69333077562504,0.9808670127999642,0.8049362680430612,0.0721796807592752
XAI-MeteoFormer,jena,no_revin+no_entropy,4,0.0,0.0,off,default,,,1892475,600.8,6.65,0.1449856917927387,18,96,24,256,2,0.0005,3.105717658996582,5.281764030456543,27.897031784057617,21.817169189453125,0.6789225339889526,2.0953845977783203,2.686969995498657,7.254155158996582,9.636287689208984,10.671605110168455,2.2054989337921143,3.167907953262329,0.2227305024862289,0.8678283095359802,1.2143657207489014,1.4915872812271118,2.279834985733032,2.702777862548828,4.72979211807251,3.1817164421081543,5.373652935028076,3.861127614974976,6.173888683319092,0.9488783433994824,0.6058169993677175,0.8351388370065994,0.7022301329703696,0.9784928972330718,0.7958931549637865,0.0721796807592752
XAI-MeteoFormer,jena,no_revin+no_cls,1,0.0,0.01,off,default,,,1892475,862.0,6.62,0.1455073493404345,26,96,24,256,2,0.0005,3.0304739475250244,5.324560165405273,28.350940704345703,21.863357543945312,0.672555148601532,1.9095139503479004,2.5461983680725098,7.257522583007812,9.781232833862305,10.664846420288086,2.078625440597534,3.1154444217681885,0.2098784744739532,0.8762320280075073,1.2418023347854614,0.9198117852211,1.7322856187820437,2.47159743309021,4.564774990081787,3.265331983566284,5.601224899291992,3.939772367477417,6.305066108703613,0.5119865065669639,0.070240513226989,0.4708006474909725,0.1222431175605261,0.4942457835380505,0.0743340257790873,0.0721796807592752
