model,dataset,ablation,seed,missing_rate,lambda_ent,norm_variant,width,loss,aug_block,bl_d_model,bl_d_ff,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE
Crossformer,jena,full,0,0.0,0.0,on,default,huber,0.0,,,1695946,838.0,5.82,0.1512479198423435,13,96,24,256,2,0.0005,3.148177146911621,5.304864406585693,28.141584396362305,22.34623336791992,0.6659689545631409,2.4336791038513184,3.094074487686157,7.143311023712158,9.56434154510498,10.355981826782228,2.1589431762695312,3.1613619327545166,0.2180842012166977,0.8567786812782288,1.233782172203064,1.286441206932068,2.057613611221313,2.6256628036499023,4.545621395111084,3.330564498901367,5.511826515197754,4.066036224365234,6.373250961303711,0.7146426517112453,0.201445006671198,0.9963889926534678,0.3351342295933325,0.9727284462068078,0.7573826684686613,0.0721796807592752
Crossformer,jena,full,2,0.0,0.0,on,default,huber,0.0,,,1695946,918.9,5.89,0.149650454938403,14,96,24,256,2,0.0005,3.1584696769714355,5.342072486877441,28.537736892700195,22.31391143798828,0.6638573408126831,2.387810468673706,3.032193422317505,7.250500202178955,9.670968055725098,10.632391929626465,2.136634111404419,3.1447513103485107,0.215979665517807,0.8589332699775696,1.2408329248428345,1.3615800142288208,2.1662638187408447,2.643124580383301,4.634537220001221,3.3175621032714844,5.57509708404541,4.033877372741699,6.353788375854492,0.7105712539545586,0.1993133417368805,0.9975511559374092,0.332243549423889,0.9744089953464452,0.7466538935378669,0.0721796807592752
Crossformer,jena,full,4,0.0,0.0,on,default,huber,0.0,,,1695946,967.1,6.07,0.1508461882137481,15,96,24,256,2,0.0005,3.160998106002808,5.341041564941406,28.526723861694336,22.512210845947266,0.6610856652259827,2.488274335861206,3.172611951828003,7.151247501373291,9.61614227294922,10.35482692718506,2.1515462398529053,3.1673598289489746,0.2175189107656479,0.8529237508773804,1.2405935525894165,1.4185459613800049,2.238045454025269,2.6291329860687256,4.589751720428467,3.2891652584075928,5.522053241729736,4.055841445922852,6.394093990325928,0.7128001869427667,0.2005507343124165,0.9975511559374092,0.3339609401596576,0.972379543669361,0.7384120014872654,0.0721796807592752
Crossformer,beijing_aotizhongxin,full,2,0.0,0.0,on,default,huber,0.0,,,1694664,422.3,3.34,0.1711040695033173,13,96,24,256,2,0.0005,4.103140354156494,7.837051868438721,61.41938018798828,26.747190475463867,0.6586461067199707,2.460346937179565,3.194129228591919,11.064101219177246,14.982211112976074,26.804536819458008,2.2143394947052,3.1756248474121094,0.2181876003742218,0.6737736463546753,0.9611386656761168,1.919344425201416,3.412894487380981,3.402316093444824,6.504624843597412,4.273541927337647,8.038857460021973,5.178843975067139,9.49170970916748,0.7177664974619289,0.3810432569974554,1.0,0.551819438046983,0.9730407940758588,0.8602220405657239,0.1737490935460478
Crossformer,beijing_aotizhongxin,full,4,0.0,0.0,on,default,huber,0.0,,,1694664,303.5,2.9,0.1682292401729025,11,96,24,256,2,0.0005,4.146594047546387,8.035605430603027,64.57096099853516,26.701292037963867,0.6506651043891907,2.4226303100585938,3.136566400527954,11.239641189575195,15.401451110839844,26.470842361450195,2.2397141456604004,3.210310459136963,0.2206209301948547,0.6843897700309753,0.9669548273086548,1.8573359251022337,3.3142430782318115,3.423961639404297,6.641211032867432,4.363202095031738,8.330673217773438,5.214612007141113,9.690241813659668,0.7110103940053178,0.3754799279128686,1.0,0.545962060649792,0.9761145123749098,0.881631970604456,0.1737490935460478
Crossformer,jena,full,1,0.0,0.0,on,default,huber,0.0,,,1695946,772.5,7.99,0.1519184952714473,12,96,24,256,2,0.0005,3.192749261856079,5.388088703155518,29.031497955322266,22.35793113708496,0.6594141125679016,2.436246871948242,3.1119391918182373,7.284100532531738,9.728874206542969,10.597421646118164,2.18652081489563,3.201486587524414,0.2209611535072326,0.8641288876533508,1.2415072917938232,1.2683765888214111,2.0567831993103027,2.7129485607147217,4.725105285644531,3.3801655769348145,5.613606452941895,4.099066257476807,6.433635711669922,0.7071349822644042,0.1974750917887093,0.997883202589964,0.3297037849698299,0.9735567628168068,0.760050450081977,0.0721796807592752
Crossformer,jena,full,3,0.0,0.0,on,default,huber,0.0,,,1695946,1085.7,5.93,0.1516435883142649,17,96,24,256,2,0.0005,3.172048091888428,5.3257036209106445,28.363121032714844,22.622051239013672,0.6617811918258667,2.4757680892944336,3.124526262283325,7.166595458984375,9.583044052124023,10.442312240600586,2.172318935394287,3.211831331253052,0.2194719314575195,0.873506486415863,1.2406517267227173,1.3168249130249023,2.0955069065093994,2.659877300262451,4.589319705963135,3.35337781906128,5.542801856994629,4.088625907897949,6.407238006591797,0.7209369907007958,0.2051811878820998,0.9973851326111318,0.3403465784758762,0.9723941066746526,0.7391255584133002,0.0721796807592752
Crossformer,beijing_aotizhongxin,full,0,0.0,0.0,on,default,huber,0.0,,,1694664,425.4,3.35,0.173578935675048,13,96,24,256,2,0.0005,4.135837554931641,7.94692325592041,63.15359115600586,27.19306373596192,0.649943470954895,2.5530574321746826,3.319448947906494,11.099677085876465,15.182851791381836,26.21205711364746,2.2195987701416016,3.183093309402466,0.2185794562101364,0.6710155010223389,0.971875250339508,1.8683136701583865,3.342122793197632,3.430857419967652,6.585185050964356,4.31885290145874,8.14887523651123,5.23061990737915,9.599413871765137,0.7170232052211748,0.3804231334100742,1.0,0.551168875981252,0.971186987835208,0.8500899639128743,0.1737490935460478
Crossformer,beijing_aotizhongxin,full,1,0.0,0.0,on,default,huber,0.0,,,1694664,415.8,3.39,0.1706333376416633,13,96,24,256,2,0.0005,4.136470794677734,7.905086517333984,62.49039077758789,26.86753845214844,0.6532598733901978,2.560153722763061,3.2695910930633545,11.076126098632812,15.10328197479248,27.287891387939453,2.2376608848571777,3.1978647708892822,0.2204813510179519,0.6719388961791992,0.9674199223518372,1.80975353717804,3.19160270690918,3.503652334213257,6.689690589904785,4.376249313354492,8.220166206359863,5.253397464752197,9.596963882446287,0.7179719603577471,0.3812150300973191,1.0,0.551999539232438,0.9729409475519144,0.8621392186838941,0.1737490935460478
Crossformer,beijing_aotizhongxin,full,3,0.0,0.0,on,default,huber,0.0,,,1694664,448.7,3.4,0.1682520699617185,14,96,24,256,2,0.0005,4.166661262512207,7.853181838989258,61.672462463378906,27.499378204345703,0.6590427160263062,2.7270188331604004,3.460806131362915,11.024168968200684,14.95266056060791,26.08168029785156,2.236842632293701,3.197086811065674,0.2203132510185241,0.6786145567893982,0.9535169005393982,1.9493913650512693,3.4112637042999268,3.501370429992676,6.608567237854004,4.355536460876465,8.097803115844727,5.224667072296143,9.391179084777832,0.7282209330432681,0.3899845373409652,1.0,0.5611350728936942,0.972363496390862,0.8555819003996855,0.1737490935460478
