model,dataset,ablation,seed,missing_rate,lambda_ent,norm_variant,width,loss,aug_block,bl_d_model,bl_d_ff,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE
PatchTST,jena,full,0,0.0,0.0,off,default,mse,0.0,,,1657880,1084.1,9.19,0.3776574757160373,20,96,24,256,2,0.0005,3.309354066848755,5.634677410125732,31.749589920043945,23.03117561340332,0.6393457651138306,2.1802637577056885,2.876061201095581,7.81986141204834,10.289963722229004,11.634953498840332,2.311122417449951,3.347097873687744,0.2334952354431152,0.9261677861213684,1.2807292938232422,1.1720845699310305,2.0535597801208496,2.756624221801758,4.896233081817627,3.560342311859131,5.961833953857422,4.1529645919799805,6.507343769073486,0.6722809414245997,0.1804087015819014,0.999252895031752,0.305636663704456,0.96802536215849,0.7035759327104885,0.0721796807592752
PatchTST,jena,full,2,0.0,0.0,off,default,mse,0.0,,,1657880,1086.2,8.94,0.3830238027287622,20,96,24,256,2,0.0005,3.335667848587036,5.61279821395874,31.503501892089844,23.20133209228516,0.6393444538116455,2.223599910736084,2.913931608200073,7.845427513122559,10.231703758239746,11.707330703735352,2.3490190505981445,3.345449209213257,0.2373681664466858,0.9246295094490052,1.2818702459335327,1.3606475591659546,2.261143684387207,2.785783052444458,4.90948486328125,3.5761961936950684,5.941758632659912,4.158410549163818,6.486753463745117,0.6742911753427284,0.1813204193528951,0.999252895031752,0.306944010607577,0.9678111617576498,0.7038845093090814,0.0721796807592752
PatchTST,jena,full,4,0.0,0.0,off,default,mse,0.0,,,1657880,977.0,9.05,0.38045338364976,18,96,24,256,2,0.0005,3.278254508972168,5.583081245422363,31.17079734802246,22.848011016845703,0.6388885378837585,2.1456897258758545,2.865440845489502,7.680032730102539,10.159764289855955,11.232396125793455,2.37496280670166,3.4052734375,0.2399614602327346,0.9123375415802002,1.2867543697357178,1.0575963258743286,1.9070944786071773,2.747867584228516,4.881975173950195,3.556112051010132,5.918779850006104,4.152575969696045,6.528067588806152,0.6647373214456908,0.1771483613850102,0.9999584941684306,0.3009769382605002,0.9672887591242736,0.6967326035175685,0.0721796807592752
Autoformer,jena,full,2,0.0,0.0,on,default,mse,0.0,,,2677305,1513.5,12.56,0.4729681965204172,19,96,24,256,2,0.0005,3.860886335372925,6.258899211883545,39.1738166809082,25.47679328918457,0.5502252578735352,2.479675531387329,3.181245803833008,8.588332176208496,11.110360145568848,12.674445152282717,3.3886795043945312,4.609155178070068,0.3422151207923889,0.9868584871292114,1.3749537467956543,2.706137657165528,4.357643127441406,3.4034619331359863,5.620607376098633,3.914172649383545,6.339760780334473,4.639823913574219,7.266619682312012,0.6866791295177835,0.1870708892845757,0.9985888017266424,0.3151104766145826,0.9620116859685602,0.6450091872947751,0.0721796807592752
Autoformer,jena,full,4,0.0,0.0,on,default,mse,0.0,,,2677305,792.0,12.33,0.4788282635153836,10,96,24,256,2,0.0005,3.900084972381592,6.11987829208374,37.45290756225586,25.213298797607425,0.5499924421310425,2.622211217880249,3.324810743331909,8.233148574829102,10.581018447875977,11.943734169006348,3.7576515674591056,4.996201515197754,0.379311203956604,0.9873296618461608,1.3554704189300537,2.923675298690796,4.540744304656982,3.5083651542663574,5.566136360168457,3.957597494125366,6.209802150726318,4.5247907638549805,6.956555366516113,0.6931112788802608,0.1900115537407214,0.9965965218113144,0.319170006446939,0.9601319522196344,0.6290222653827588,0.0721796807592752
TimesNet,jena,full,1,0.0,0.0,off,default,mse,0.0,,,1186507,904.4,7.59,0.3610857712043036,12,96,24,256,2,0.0005,3.28174090385437,5.434513568878174,29.533939361572266,22.33102226257324,0.6552147269248962,2.123463630676269,2.741992712020874,7.541553497314453,9.806048393249512,11.14781379699707,2.5684731006622314,3.592500925064087,0.2594307959079742,0.8934736847877502,1.246026873588562,1.8519912958145144,3.095043182373047,2.79276704788208,4.767362594604492,3.407801389694214,5.59270715713501,4.082175254821777,6.383071422576904,0.6884586808551433,0.1879925334083116,0.9990453658739052,0.3164398869388023,0.9741367368512456,0.753537568421595,0.0721796807592752
TimesNet,jena,full,3,0.0,0.0,off,default,mse,0.0,,,1186507,902.6,7.45,0.3682880672244778,12,96,24,256,2,0.0005,3.27836275100708,5.46377420425415,29.85283088684082,22.22976493835449,0.6495703458786011,2.0407869815826416,2.6574151515960693,7.53052806854248,9.855291366577148,11.07582187652588,2.650714635848999,3.6928327083587646,0.2679759860038757,0.8914196491241455,1.2592308521270752,1.7534096240997314,2.9456663131713867,2.7510197162628174,4.725371837615967,3.420041799545288,5.642546653747559,4.153043270111084,6.51261043548584,0.6741443773367846,0.1812151284927979,0.9989208483791971,0.3067774789358963,0.9747574136029534,0.7517213197274245,0.0721796807592752
TFT,jena,full,0,0.0,0.0,off,default,mse,0.0,,,3640676,939.2,12.1,0.3673596075189731,10,96,24,256,2,0.0005,3.285935163497925,5.470184803009033,29.92292213439941,22.660215377807617,0.6531593203544617,2.2634401321411133,2.925947904586792,7.538860321044922,9.884172439575195,10.776230812072754,2.4451191425323486,3.446397066116333,0.2469955086708068,0.8963163495063782,1.2474019527435305,1.7270978689193726,2.8610148429870605,2.7263288497924805,4.712444305419922,3.425598859786988,5.650371551513672,4.080152988433838,6.383624076843262,0.7011731856964817,0.1943881137243179,0.998630307558212,0.3254297810179486,0.9707179706765744,0.7284659371549611,0.0721796807592752
TFT,jena,full,2,0.0,0.0,off,default,mse,0.0,,,3640676,943.8,12.04,0.3708884741348399,10,96,24,256,2,0.0005,3.3446528911590576,5.528117656707764,30.56008529663086,22.52688217163086,0.645922064781189,2.2031784057617188,2.851835966110229,7.590831279754639,9.935433387756348,10.798285484313965,2.6901402473449707,3.719144105911255,0.2717607915401459,0.894459068775177,1.2500040531158447,1.9126410484313965,3.19882869720459,2.8342843055725098,4.829105854034424,3.464421033859253,5.671903133392334,4.138521194458008,6.478251457214356,0.684734804908446,0.1862481246036533,0.9995849416843068,0.313991616633746,0.973136663141234,0.7404085954743054,0.0721796807592752
TFT,jena,full,4,0.0,0.0,off,default,mse,0.0,,,3640676,953.2,12.41,0.3844054552889797,10,96,24,256,2,0.0005,3.378675937652588,5.544843673706055,30.74529266357422,22.490625381469727,0.6380465030670166,2.120189666748047,2.777411937713623,7.523630142211914,9.856184005737305,11.019174575805664,2.969555616378784,4.068376541137695,0.3000042736530304,0.901328444480896,1.2534667253494265,1.8383612632751465,3.033544540405273,2.9003264904022217,4.869728088378906,3.507441282272339,5.700336933135986,4.17675256729126,6.516412258148193,0.6839109385485572,0.1857558610787318,0.99875482505292,0.3132509730918937,0.9733515368580934,0.7361889596455338,0.0721796807592752
