model,dataset,ablation,seed,missing_rate,lambda_ent,norm_variant,width,loss,aug_block,bl_d_model,bl_d_ff,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE
LSTM,jena,full,0,0.0,0.0,off,default,mse,0.0,,,834656,130.3,3.7,0.3529095866718884,10,96,24,256,2,0.0005,3.225494861602783,5.3251237869262695,28.35694122314453,22.59126281738281,0.6696761846542358,2.2427549362182617,2.8194313049316406,7.381460666656494,9.61789608001709,10.888179779052734,2.39235258102417,3.3892641067504883,0.2416092157363891,0.8854135870933533,1.2196598052978516,1.8541009426116943,3.119872570037842,2.755420923233032,4.7432708740234375,3.302173137664795,5.4268341064453125,3.969863653182984,6.18282413482666,0.7252959927140255,0.2080551404855886,0.9997924708421532,0.3444341173947237,0.975329300608088,0.752512341022276,0.0721796807592752
LSTM,jena,full,2,0.0,0.0,off,default,mse,0.0,,,834656,129.1,2.89,0.3569776166614697,10,96,24,256,2,0.0005,3.2419114112854004,5.408034324645996,29.24683380126953,22.443336486816406,0.6661099195480347,2.201282262802124,2.79175877571106,7.469322204589844,9.807316780090332,11.106499671936035,2.4171156883239746,3.393739938735962,0.2441983371973037,0.8799256086349487,1.221678614616394,1.9572957754135127,3.17329478263855,2.7790682315826416,4.771613121032715,3.345395088195801,5.586107730865479,3.955755472183228,6.214723110198975,0.7196068210142843,0.2047076818490822,0.999875482505292,0.3398390384628949,0.9751581456595232,0.7491021940892101,0.0721796807592752
LSTM,jena,full,4,0.0,0.0,off,default,mse,0.0,,,834656,130.5,2.93,0.3547104279353001,10,96,24,256,2,0.0005,3.244310140609741,5.3955793380737305,29.112276077270508,22.479412078857425,0.6642513871192932,2.1463756561279297,2.7335379123687744,7.474595546722412,9.76810073852539,11.044998168945312,2.46699595451355,3.4716572761535645,0.2491223365068435,0.8892762660980225,1.228283166885376,1.880259394645691,3.155029296875,2.7985329627990723,4.827146053314209,3.36568546295166,5.555131435394287,3.989202976226807,6.2550787925720215,0.7119613411945164,0.2003576478416368,0.9998339766737226,0.3338206661446893,0.9761998046749094,0.756191150609285,0.0721796807592752
LSTM,jena,full,1,0.0,0.0,off,default,huber,0.5,,,834656,254.2,2.84,0.1594825968931051,10,96,24,256,2,0.0005,3.281019687652588,5.3554558753967285,28.680906295776367,23.166423797607425,0.664262592792511,2.4539928436279297,3.080030918121338,7.292205333709717,9.571621894836426,10.651905059814451,2.4990007877349854,3.485879421234131,0.2522489726543426,0.8788780570030212,1.2123196125030518,1.902481198310852,3.067358493804932,2.854600667953491,4.772972583770752,3.386423110961914,5.496363162994385,3.995161294937134,6.228314399719238,0.742048940657655,0.2185835004946765,0.9995434358527372,0.3587207483651855,0.9760415837866614,0.7508535052684172,0.0721796807592752
LSTM,jena,full,3,0.0,0.0,off,default,huber,0.5,,,834656,280.9,2.77,0.159792426298565,11,96,24,256,2,0.0005,3.3038647174835205,5.390430450439453,29.056739807128903,23.26482963562012,0.6539987325668335,2.767423391342163,3.3887743949890137,7.269297122955322,9.60450267791748,10.673680305480955,2.328690767288208,3.312273502349853,0.2353449165821075,0.8500490188598633,1.2351075410842896,1.95625638961792,3.0114450454711914,2.8405251502990723,4.788527965545654,3.414053440093994,5.561744689941406,4.011148452758789,6.267852783203125,0.7726278640590547,0.2408604302151075,0.9992113892001826,0.3881557201938038,0.9784177540797772,0.7626226264507016,0.0721796807592752
LSTM,jena,full,1,0.0,0.0,off,default,mse,0.0,,,834656,145.5,2.89,0.3519091147669476,11,96,24,256,2,0.0005,3.1890649795532227,5.324479579925537,28.350080490112305,22.32343482971192,0.6704761385917664,2.1675195693969727,2.765117645263672,7.314599514007568,9.64223575592041,10.592910766601562,2.3878650665283203,3.35984468460083,0.2411235570907592,0.8862766623497009,1.2219542264938354,1.6431167125701904,2.7315497398376465,2.744251251220703,4.735564708709717,3.3108484745025635,5.4385480880737305,3.966657876968384,6.223797798156738,0.7226176780749688,0.2064508387118894,0.9997094591790148,0.3422279056550156,0.9758622463866174,0.7628571391071827,0.0721796807592752
LSTM,jena,full,3,0.0,0.0,off,default,mse,0.0,,,834656,120.0,2.59,0.3579275794905536,9,96,24,256,2,0.0005,3.2657575607299805,5.439712524414063,29.590473175048828,22.467241287231445,0.66422438621521,2.0797595977783203,2.69252610206604,7.557328224182129,9.859270095825195,11.24996566772461,2.53549599647522,3.523792266845703,0.2561101615428924,0.8904457092285156,1.220594048500061,2.0106661319732666,3.4362971782684326,2.8343193531036377,4.946401119232178,3.344172477722168,5.56862211227417,4.01101541519165,6.298161029815674,0.6977638769053782,0.192759804431499,0.9998339766737226,0.3232077927305417,0.9741700471643946,0.727573146936239,0.0721796807592752
LSTM,jena,full,0,0.0,0.0,off,default,huber,0.5,,,834656,308.4,2.78,0.1619345630759185,12,96,24,256,2,0.0005,3.3198766708374023,5.451415061950684,29.717926025390625,23.39812469482422,0.6557296514511108,2.6967344284057617,3.3496198654174805,7.365972518920898,9.730067253112791,10.835175514221191,2.350398302078247,3.390458583831787,0.2372759878635406,0.8663987517356873,1.2175039052963257,1.7978026866912842,2.8244149684906006,2.8115556240081787,4.752330780029297,3.440762758255005,5.61230993270874,4.118963241577148,6.380194664001465,0.771126929345221,0.2381996376049894,0.9875897563607688,0.3838237191895728,0.9677325530505574,0.7322453709443131,0.0721796807592752
LSTM,jena,full,2,0.0,0.0,off,default,huber,0.5,,,834656,307.3,2.92,0.1576987302637958,12,96,24,256,2,0.0005,3.2654407024383545,5.322488307952881,28.328882217407227,23.19698715209961,0.6651645302772522,2.670065402984619,3.306351900100708,7.183828353881836,9.478924751281738,10.540326118469238,2.3496971130371094,3.327254295349121,0.2372081130743026,0.858171284198761,1.2095352411270142,1.7285664081573486,2.6906533241271973,2.7797255516052246,4.671599388122559,3.4482016563415527,5.544837474822998,3.999014616012573,6.21371603012085,0.7754799396031061,0.2430312708455458,0.9980492259162412,0.3908806437192669,0.9749100393610612,0.7621695589806797,0.0721796807592752
LSTM,jena,full,4,0.0,0.0,off,default,huber,0.5,,,834656,214.1,2.6,0.1604575162379744,10,96,24,256,2,0.0005,3.347719430923462,5.476531982421875,29.99240493774414,23.23852157592773,0.6546039581298828,2.598115921020508,3.2507121562957764,7.5605316162109375,9.82356071472168,11.289193153381348,2.3727660179138184,3.376131057739258,0.2396644502878189,0.8594640493392944,1.225502610206604,2.04114294052124,3.276123523712158,2.927873373031616,4.946138381958008,3.4779481887817383,5.676653861999512,4.024305820465088,6.284269332885742,0.7588498226440418,0.2302136249270537,0.9987963308844892,0.3741817107493275,0.97689650421958,0.7479804016679714,0.0721796807592752
