model,dataset,ablation,seed,missing_rate,params,train_time_s,infer_time_s,best_val,epochs_run,seq_len,pred_len,d_model,n_layers,lr,lambda_ent,MAE,RMSE,MSE,SMAPE,R2,MAE_T,RMSE_T,MAE_RH,RMSE_RH,MAPE_RH,MAE_P,RMSE_P,MAPE_P,MAE_WS,RMSE_WS,MAE_h1,RMSE_h1,MAE_h6,RMSE_h6,MAE_h12,RMSE_h12,MAE_h24,RMSE_h24,CLS_ACC,CLS_P,CLS_R,CLS_F1,CLS_AUC,CLS_AP,CLS_POSRATE,norm_variant,width,bl_d_model,bl_d_ff
Autoformer,jena,full,0,0.0,2677305.0,959.0,12.33,0.2056641102250058,12.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.8905608654022217,6.166906833648682,38.030738830566406,25.03853988647461,0.5541536808013916,2.679753065109253,3.443611860275269,8.224231719970703,10.671184539794922,11.971746444702148,3.69777512550354,4.961958408355713,0.3733890056610107,0.960477888584137,1.3301429748535156,2.852750301361084,4.402598857879639,3.478386878967285,5.566246032714844,3.931591272354126,6.259064674377441,4.623414039611816,7.126098155975342,0.7190256207458537,0.2033843482405815,0.9917403395177022,0.3375454705986226,0.9641631162002002,0.6793583091510969,0.0721796807592752,on,default,,
Autoformer,jena,full,2,0.0,2677305.0,711.2,12.55,0.2103854086615948,9.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.967543840408325,6.268884658813477,39.29891204833984,25.382686614990234,0.5406596064567566,2.7382242679595947,3.4821879863739014,8.478636741638184,10.856409072875977,12.510724067687988,3.711841821670532,5.038607120513916,0.3748489618301391,0.9414731860160828,1.349370360374451,3.095054864883423,4.844893455505371,3.5824570655822754,5.719735145568848,3.981306791305542,6.299111843109131,4.670419216156006,7.247876167297363,0.6882969034608379,0.1879181532168034,0.9990868717054746,0.3163365881224291,0.9613518528212848,0.6363905762768705,0.0721796807592752,on,default,,
Autoformer,jena,full,4,0.0,2677305.0,945.8,12.43,0.2088566570598553,12.0,96.0,24.0,256.0,2.0,0.0005,0.0,3.917247772216797,6.214001655578613,38.61381912231445,25.721416473388672,0.5482897162437439,2.8517487049102783,3.605334043502808,8.410658836364746,10.845325469970703,12.171463966369627,3.4484622478485107,4.690446376800537,0.3482342958450317,0.9581272006034852,1.3547898530960083,2.817563056945801,4.362454891204834,3.485104322433472,5.589320659637451,3.940317392349243,6.268365859985352,4.689125061035156,7.308650970458984,0.7252780174479916,0.2078677417403403,0.9983397667372266,0.3440910976639057,0.9618505144980118,0.645336009466696,0.0721796807592752,on,default,,
XAI-MeteoFormer,jena,no_multiscale,4,0.0,1755550.0,488.2,5.9,0.1518170952799097,19.0,96.0,24.0,256.0,2.0,0.0005,0.01,3.115389108657837,5.480447769165039,30.035308837890625,21.61488914489746,0.6636165380477905,1.8829801082611084,2.530062437057495,7.473011016845703,10.079659461975098,10.5664701461792,2.235565662384033,3.255002498626709,0.2259205728769302,0.8700015544891357,1.243162989616394,1.1737501621246338,2.1102383136749268,2.6303961277008057,4.891201972961426,3.278254270553589,5.70685625076294,4.006309509277344,6.488124847412109,0.8348162927811331,0.2826841766303587,0.8380442452164529,0.4227640574126614,0.9188093781996696,0.4610341926856731,0.0721796807592752,off,default,,
XAI-MeteoFormer,jena,no_var_attn,4,0.0,1892513.0,729.7,6.45,0.1576660626824476,22.0,96.0,24.0,256.0,2.0,0.0005,0.01,3.154969930648804,5.455528736114502,29.76279258728028,22.20540428161621,0.659176766872406,1.9383704662323,2.592334508895874,7.542945861816406,9.98329257965088,10.80671501159668,2.259183406829834,3.3303370475769043,0.228246122598648,0.8793824315071106,1.2544735670089722,1.2201530933380127,2.20187783241272,2.614562749862671,4.754037380218506,3.3126652240753174,5.637351512908936,4.083290100097656,6.535313129425049,0.8982450148595532,0.3897032534858777,0.723861702569211,0.5066453627714431,0.9327380869664345,0.5037211303031971,0.0721796807592752,off,default,,
XAI-MeteoFormer,jena,no_temp_attn,4,0.0,1892513.0,605.3,6.51,0.1578950326099081,18.0,96.0,24.0,256.0,2.0,0.0005,0.01,3.188006639480591,5.509171962738037,30.350976943969727,22.01093292236328,0.6542620658874512,1.943446040153504,2.613222599029541,7.534310340881348,10.058526039123535,10.751482009887695,2.385512351989746,3.4386022090911865,0.2408787608146667,0.888759434223175,1.2558053731918335,1.187449336051941,2.1528127193450928,2.736691236495972,4.994065284729004,3.4142301082611084,5.845359325408936,4.0091729164123535,6.376279354095459,0.873840595340811,0.341641764809281,0.8067073423816046,0.4800019757232999,0.9269303678138174,0.4567778409071099,0.0721796807592752,off,default,,
XAI-MeteoFormer,jena,no_fusion,4,0.0,1761185.0,639.1,6.45,0.1570768600918031,19.0,96.0,24.0,256.0,2.0,0.0005,0.01,3.230266094207764,5.587268829345703,31.217575073242188,22.6816349029541,0.6493577361106873,2.096920967102051,2.807074069976806,7.655394554138184,10.223947525024414,11.123059272766112,2.281601428985596,3.2975616455078125,0.2305622696876526,0.8871510028839111,1.2600104808807373,1.273754000663757,2.257145404815674,2.714780569076538,4.854071617126465,3.4980990886688232,6.001765251159668,4.069434642791748,6.463325023651123,0.8680345844118493,0.3233106672333192,0.7578134727929274,0.4532489294358592,0.912176872923497,0.4110797300948948,0.0721796807592752,off,default,,
XAI-MeteoFormer,jena,no_cls,4,0.0,1892513.0,605.1,6.53,0.1547454185183968,18.0,96.0,24.0,256.0,2.0,0.0005,0.01,3.122861623764038,5.440995216369629,29.60443115234375,22.10112953186035,0.6560776829719543,1.963428378105164,2.631843090057373,7.441531658172607,9.976813316345217,10.66457748413086,2.18725323677063,3.214840650558472,0.2210251688957214,0.8992304801940918,1.2724546194076538,0.9735641479492188,1.8189505338668823,2.6326451301574707,4.871559143066406,3.347147226333618,5.6953535079956055,3.996490955352783,6.360457897186279,0.5084393874029336,0.0789996030170702,0.5451375918316523,0.1380005989062081,0.5233233778882612,0.0714432836461931,0.0721796807592752,off,default,,
Autoformer,beijing_aotizhongxin,full,0,0.0,2674742.0,360.9,6.69,0.2271990198889488,9.0,96.0,24.0,256.0,2.0,0.0005,0.0,5.188076972961426,9.152098655700684,83.76091766357422,29.30963134765625,0.5668747425079346,2.980530500411988,3.829766750335693,13.207324028015137,17.137975692749023,31.47397422790528,3.8638415336608887,5.06443977355957,0.3809651136398315,0.7006108164787292,1.008841872215271,4.122032642364502,6.971987724304199,4.64617919921875,8.104887962341309,5.273190498352051,9.220125198364258,6.057554721832275,10.757242202758787,0.715288856659415,0.3789329324577366,0.9994435169727324,0.5495190560878129,0.9637894273106784,0.8292844227256974,0.1737490935460478,on,default,,
Autoformer,beijing_aotizhongxin,full,1,0.0,2674742.0,320.4,6.91,0.2480694804354899,8.0,96.0,24.0,256.0,2.0,0.0005,0.0,5.48073673248291,9.623685836791992,92.61532592773438,30.474571228027344,0.5322921872138977,3.168519973754883,4.067754745483398,13.925426483154297,18.004409790039062,33.59495544433594,4.106044769287109,5.355910778045654,0.4047056138515472,0.7229605913162231,1.0344992876052856,4.573487758636475,7.72162389755249,5.038676261901856,8.758930206298828,5.573551177978516,9.801228523254396,6.233590126037598,10.997966766357422,0.7148235436306503,0.3782052128882254,0.9957220367278798,0.5481909831592452,0.957488690455608,0.8000995908664609,0.1737490935460478,on,default,,
